date,variant,users,activation_rate,day7_retention,feature_adoption_rate,previous_week_logins,avg_session_count
2023-09-01,control,88,0.3327,0.2891,0.2187,3.79,2.67
2023-09-01,treatment,84,0.376,0.3295,0.2148,2.23,2.12
2023-09-02,control,92,0.325,0.3273,0.2405,2.54,2.45
2023-09-02,treatment,75,0.3802,0.3257,0.2548,2.86,3.06
2023-09-03,control,88,0.329,0.3236,0.236,2.29,2.4
2023-09-03,treatment,84,0.352,0.2862,0.1855,2.95,2.93
2023-09-04,control,82,0.3097,0.286,0.2448,3.58,2.92
2023-09-04,treatment,84,0.3896,0.3445,0.1867,3.25,2.48
2023-09-05,control,87,0.3448,0.2926,0.2401,4.31,3.13
2023-09-05,treatment,79,0.3664,0.2864,0.2462,2.13,2.91
2023-09-06,control,83,0.3605,0.3131,0.1926,4.5,2.35
2023-09-06,treatment,82,0.3605,0.3461,0.1822,3.26,1.86
2023-09-07,control,84,0.3551,0.2832,0.21,4.02,2.81
2023-09-07,treatment,84,0.3673,0.3373,0.1893,3.48,2.39
2023-09-08,control,86,0.3364,0.3406,0.2461,3.69,2.22
2023-09-08,treatment,77,0.367,0.2822,0.2261,4.68,3.15
2023-09-09,control,91,0.3384,0.3329,0.2389,3.9,2.92
2023-09-09,treatment,79,0.3588,0.339,0.2538,3.18,3.07
2023-09-10,control,81,0.3379,0.3019,0.2229,3.12,2.88
2023-09-10,treatment,85,0.35,0.3233,0.233,4.32,2.12
2023-09-11,control,81,0.3637,0.2963,0.1935,4.29,2.05
2023-09-11,treatment,80,0.3529,0.3078,0.2009,2.56,2.64
2023-09-12,control,92,0.3653,0.3491,0.1869,2.19,1.98
2023-09-12,treatment,81,0.3924,0.3316,0.2056,4.38,2.69
2023-09-13,control,84,0.3427,0.3125,0.1802,3.94,2.24
2023-09-13,treatment,81,0.387,0.3271,0.2422,4.63,2.47
2023-09-14,control,85,0.3557,0.3099,0.2171,3.2,2.04
2023-09-14,treatment,84,0.3852,0.3107,0.1901,4.74,1.83
2023-09-15,control,85,0.3387,0.3198,0.1978,2.11,2.01
2023-09-15,treatment,84,0.3795,0.3116,0.2079,2.2,2.08
2023-09-16,control,81,0.3505,0.3396,0.2402,2.85,2.78
2023-09-16,treatment,85,0.3595,0.3156,0.2313,4.64,2.23
2023-09-17,control,90,0.34,0.307,0.2563,4.73,2.73
2023-09-17,treatment,76,0.3836,0.3451,0.1978,3.48,3.15
2023-09-18,control,83,0.33,0.2946,0.1886,2.26,2.63
2023-09-18,treatment,83,0.3624,0.2856,0.2555,2.79,2.87
2023-09-19,control,88,0.3552,0.3346,0.2509,3.75,2.15
2023-09-19,treatment,83,0.4004,0.3098,0.1823,2.27,2.79
2023-09-20,control,80,0.3372,0.3296,0.2388,2.64,1.97
2023-09-20,treatment,80,0.3726,0.2802,0.2178,2.21,2.0
2023-09-21,control,85,0.3591,0.2885,0.2202,4.41,1.86
2023-09-21,treatment,77,0.3477,0.3352,0.2369,3.86,2.81
2023-09-22,control,87,0.3526,0.3452,0.2146,3.55,2.61
2023-09-22,treatment,84,0.3537,0.3001,0.2336,2.93,2.52
2023-09-23,control,86,0.3219,0.3295,0.2588,4.74,1.91
2023-09-23,treatment,78,0.3511,0.2914,0.2477,3.57,2.54
2023-09-24,control,90,0.3294,0.2906,0.2186,4.68,1.92
2023-09-24,treatment,83,0.3935,0.2853,0.2325,4.49,2.31
2023-09-25,control,89,0.3305,0.3361,0.2557,2.81,1.86
2023-09-25,treatment,83,0.3496,0.3419,0.2298,3.5,2.29
2023-09-26,control,83,0.3524,0.3388,0.209,2.72,2.46
2023-09-26,treatment,75,0.3709,0.3019,0.1949,2.51,2.45
2023-09-27,control,91,0.3431,0.3284,0.2498,4.74,2.89
2023-09-27,treatment,80,0.3721,0.3458,0.2581,3.49,2.12
2023-09-28,control,91,0.3386,0.2944,0.2157,2.92,2.15
2023-09-28,treatment,83,0.3691,0.2916,0.1836,3.44,2.94
2023-09-29,control,82,0.3356,0.2838,0.2143,2.86,2.48
2023-09-29,treatment,84,0.3873,0.346,0.1817,3.57,2.01
2023-09-30,control,87,0.3394,0.3278,0.213,2.3,2.66
2023-09-30,treatment,85,0.3624,0.3158,0.2336,3.45,1.87
2023-10-01,control,87,0.3577,0.2813,0.2117,4.37,2.62
2023-10-01,treatment,79,0.3895,0.3368,0.2447,3.73,2.57
2023-10-02,control,85,0.334,0.3191,0.2469,2.77,2.93
2023-10-02,treatment,82,0.3831,0.3,0.1847,4.53,3.06
2023-10-03,control,87,0.3344,0.3274,0.2414,4.49,3.17
2023-10-03,treatment,82,0.3807,0.3274,0.2352,3.31,2.21
2023-10-04,control,90,0.3242,0.333,0.2104,4.62,2.35
2023-10-04,treatment,85,0.3674,0.3492,0.2304,3.02,2.27
2023-10-05,control,86,0.3354,0.334,0.2315,4.2,2.18
2023-10-05,treatment,82,0.3448,0.3016,0.2208,2.73,2.34
2023-10-06,control,83,0.3533,0.3189,0.2291,3.76,2.58
2023-10-06,treatment,82,0.3966,0.3125,0.2503,2.55,3.12
2023-10-07,control,82,0.3485,0.2823,0.1906,3.21,2.66
2023-10-07,treatment,79,0.3761,0.3343,0.2101,3.75,2.2
2023-10-08,control,89,0.3359,0.3128,0.1988,3.99,1.84
2023-10-08,treatment,83,0.3889,0.3399,0.1974,4.66,2.49
2023-10-09,control,80,0.3441,0.2921,0.2554,2.95,2.35
2023-10-09,treatment,77,0.4001,0.2877,0.2324,3.69,2.98
2023-10-10,control,91,0.3379,0.3469,0.2022,4.14,2.56
2023-10-10,treatment,79,0.3621,0.3496,0.2336,4.04,2.75
2023-10-11,control,84,0.35,0.3322,0.2308,3.71,2.96
