grant_id,pi_last,nih_institute,amount_usd,fiscal_year,project_title,associated_paper_doi
R01CA100001,Anderson,NHLBI,333446,2001,Cancer research project #1,10.1182/bld.2000001
R01CA100002,Ghobrial,NHLBI,906118,2006,Cancer research project #2,10.1182/bld.2000002
R01CA100003,Glimcher,NCI,614642,2020,Cancer research project #3,10.1182/bld.2000003
R01CA100004,Hahn,NHLBI,552892,2022,Cancer research project #4,10.1182/bld.2000004
R01CA100005,Anderson,NIAID,942291,2011,Cancer research project #5,10.1182/bld.2000005
R01CA100006,Ghobrial,NCI,517078,2021,Cancer research project #6,10.1182/bld.2000006
R01CA100007,Ghobrial,NHLBI,780527,2008,Cancer research project #7,10.1182/bld.2000007
R01CA100008,Hahn,NIAID,1170880,2011,Cancer research project #8,10.1182/bld.2000008
R01CA100009,Ghobrial,NCI,667350,2015,Cancer research project #9,10.1182/bld.2000009
R01CA100010,Glimcher,NCI,1159268,2015,Cancer research project #10,10.1182/bld.2000010
R01CA100011,Ghobrial,NIAID,1076456,2011,Cancer research project #11,10.1182/bld.2000011
R01CA100012,Anderson,NCI,1152169,2002,Cancer research project #12,10.1182/bld.2000012
R01CA100013,Ghobrial,NHLBI,520710,2017,Cancer research project #13,10.1182/bld.2000013
R01CA100014,Anderson,NHLBI,1049062,2014,Cancer research project #14,10.1182/bld.2000014
R01CA100015,Glimcher,NIAID,344031,2006,Cancer research project #15,10.1182/bld.2000015
R01CA100016,Ghobrial,NIAID,325794,2003,Cancer research project #16,10.1182/bld.2000016
R01CA100017,Glimcher,NCI,764772,2008,Cancer research project #17,10.1182/bld.2000017
R01CA100018,Hahn,NCI,371731,2010,Cancer research project #18,10.1182/bld.2000018
R01CA100019,Anderson,NIAID,279597,2019,Cancer research project #19,10.1182/bld.2000019
R01CA100020,Anderson,NIAID,386036,2011,Cancer research project #20,10.1182/bld.2000020
R01CA100021,Glimcher,NCI,385949,2001,Cancer research project #21,10.1182/bld.2000021
R01CA100022,Anderson,NIAID,601271,2021,Cancer research project #22,10.1182/bld.2000022
R01CA100023,Ghobrial,NIAID,549483,2017,Cancer research project #23,10.1182/bld.2000023
R01CA100024,Glimcher,NHLBI,734989,2007,Cancer research project #24,10.1182/bld.2000024
R01CA100025,Glimcher,NHLBI,444578,2016,Cancer research project #25,10.1182/bld.2000025
R01CA100026,Ghobrial,NCI,886517,2001,Cancer research project #26,10.1182/bld.2000026
R01CA100027,Glimcher,NIAID,1072641,2009,Cancer research project #27,10.1182/bld.2000027
R01CA100028,Hahn,NCI,629005,2022,Cancer research project #28,10.1182/bld.2000028
R01CA100029,Hahn,NCI,1072288,2003,Cancer research project #29,10.1182/bld.2000029
