paper_id	paper_doi	researcher_group	journal	year	fig_pair	similarity_score	verdict	method	review_status	notes
PID-0001	10.1038/nm.3867	Ghobrial	Leukemia	2000	Fig.5C-vs-Fig.5A	0.7596	DISTINCT	ImageTwin_v2.1	reviewed	Batch analysis #1, scan date 2024-01-15
PID-0002	10.1016/j.ccr.2007.02.015	Anderson	Science	2017	Fig.4B-vs-Fig.8B	0.7003	DISTINCT	ImageTwin_v2.1	disputed	Batch analysis #1, scan date 2024-02-15
PID-0003	10.1038/22780	Hahn	Nature Medicine	2010	Fig.3C-vs-Fig.8A	0.7986	DISTINCT	ImageTwin_v2.1	confirmed	Batch analysis #1, scan date 2024-03-15
PID-0004	10.1126/science.1123480	Glimcher	Science	2018	Fig.5A-vs-Fig.7C	0.9939	DUPLICATE	ImageTwin_v2.1	disputed	Batch analysis #1, scan date 2024-04-15
PID-0005	10.1038/nm.3867	Hahn	PNAS	2014	Fig.5C-vs-Fig.1C	0.8389	SIMILAR	ImageTwin_v2.1	confirmed	Batch analysis #1, scan date 2024-05-15
PID-0006	10.1126/science.1123480	Glimcher	Leukemia	2011	Fig.2B-vs-Fig.8A	0.9288	SIMILAR	ImageTwin_v2.1	disputed	Batch analysis #1, scan date 2024-06-15
PID-0007	10.1038/nm.3867	Glimcher	Nature Medicine	2019	Fig.6D-vs-Fig.4C	0.9829	DUPLICATE	ImageTwin_v2.1	confirmed	Batch analysis #1, scan date 2024-07-15
PID-0008	10.1182/blood-2008-10-186668	Ghobrial	Cancer Cell	2011	Fig.3B-vs-Fig.8B	0.6849	DISTINCT	ImageTwin_v2.1	disputed	Batch analysis #1, scan date 2024-08-15
PID-0009	10.1182/blood-2008-10-186668	Hahn	Nature Medicine	2005	Fig.4C-vs-Fig.4B	0.4553	DISTINCT	ImageTwin_v2.1	disputed	Batch analysis #1, scan date 2024-09-15
PID-0010	10.1038/nm.3867	Hahn	Cancer Cell	2001	Fig.8C-vs-Fig.4C	0.7367	DISTINCT	ImageTwin_v2.1	pending	Batch analysis #1, scan date 2024-10-15
PID-0011	10.1182/blood-2008-10-186668	Anderson	Oncogene	2013	Fig.4D-vs-Fig.7A	0.99	DUPLICATE	ImageTwin_v2.1	pending	Batch analysis #1, scan date 2024-11-15
PID-0012	10.1016/j.ccr.2007.02.015	Ghobrial	Blood	2016	Fig.2B-vs-Fig.7C	0.5837	DISTINCT	ImageTwin_v2.1	pending	Batch analysis #1, scan date 2024-12-15
PID-0013	10.1016/j.ccr.2007.02.015	Hahn	Oncogene	2018	Fig.7B-vs-Fig.5D	0.4773	DISTINCT	ImageTwin_v2.1	reviewed	Batch analysis #1, scan date 2024-01-15
PID-0014	10.1038/nm.3867	Ghobrial	Oncogene	2006	Fig.3A-vs-Fig.4D	0.5077	DISTINCT	ImageTwin_v2.1	reviewed	Batch analysis #1, scan date 2024-02-15
PID-0015	10.1126/science.1123480	Hahn	Leukemia	2002	Fig.7A-vs-Fig.7D	0.8354	SIMILAR	ImageTwin_v2.1	confirmed	Batch analysis #1, scan date 2024-03-15
PID-0016	10.1126/science.1123480	Glimcher	PNAS	2020	Fig.1D-vs-Fig.6B	0.6204	DISTINCT	ImageTwin_v2.1	pending	Batch analysis #1, scan date 2024-04-15
PID-0017	10.1182/blood-2008-10-186668	Ghobrial	Leukemia	2000	Fig.1A-vs-Fig.8A	0.9529	DUPLICATE	ImageTwin_v2.1	disputed	Batch analysis #1, scan date 2024-05-15
PID-0018	10.1038/nm.3867	Hahn	Oncogene	2001	Fig.1D-vs-Fig.4B	0.606	DISTINCT	ImageTwin_v2.1	confirmed	Batch analysis #1, scan date 2024-06-15
PID-0019	10.1038/nm.3867	Anderson	Oncogene	2017	Fig.1B-vs-Fig.5B	0.8727	SIMILAR	ImageTwin_v2.1	pending	Batch analysis #1, scan date 2024-07-15
PID-0020	10.1126/science.1123480	Hahn	Blood	1998	Fig.7C-vs-Fig.7B	0.8721	SIMILAR	ImageTwin_v2.1	disputed	Batch analysis #1, scan date 2024-08-15
PID-0021	10.1182/bld.9000020	Anderson	Science	2011	Fig.5C-vs-Fig.7D	0.6568	DISTINCT	ImageTwin_v2.1	confirmed	Batch analysis #1, scan date 2024-09-15
PID-0022	10.1182/bld.9000021	Anderson	PNAS	2022	Fig.6C-vs-Fig.7C	0.5052	DISTINCT	ImageTwin_v2.1	pending	Batch analysis #1, scan date 2024-10-15
PID-0023	10.1182/bld.9000022	Glimcher	PNAS	2007	Fig.2A-vs-Fig.6A	0.4725	DISTINCT	ImageTwin_v2.1	disputed	Batch analysis #1, scan date 2024-11-15
PID-0024	10.1182/bld.9000023	Glimcher	Molecular Cell	2017	Fig.6C-vs-Fig.4D	0.7683	DISTINCT	ImageTwin_v2.1	pending	Batch analysis #1, scan date 2024-12-15
PID-0025	10.1182/bld.9000024	Hahn	Leukemia	2005	Fig.8A-vs-Fig.2C	0.5567	DISTINCT	ImageTwin_v2.1	pending	Batch analysis #1, scan date 2024-01-15
PID-0026	10.1182/bld.9000025	Glimcher	Science	2006	Fig.8D-vs-Fig.8A	0.4669	DISTINCT	ImageTwin_v2.1	reviewed	Batch analysis #1, scan date 2024-02-15
PID-0027	10.1182/bld.9000026	Glimcher	Molecular Cell	2018	Fig.6B-vs-Fig.5D	0.8413	SIMILAR	ImageTwin_v2.1	confirmed	Batch analysis #1, scan date 2024-03-15
PID-0028	10.1182/bld.9000027	Anderson	PNAS	2007	Fig.6D-vs-Fig.4B	0.574	DISTINCT	ImageTwin_v2.1	reviewed	Batch analysis #1, scan date 2024-04-15
PID-0029	10.1182/bld.9000028	Ghobrial	PNAS	2014	Fig.8D-vs-Fig.6C	0.7778	DISTINCT	ImageTwin_v2.1	disputed	Batch analysis #1, scan date 2024-05-15
PID-0030	10.1182/bld.9000029	Hahn	Molecular Cell	2013	Fig.6A-vs-Fig.7B	0.9881	DUPLICATE	ImageTwin_v2.1	disputed	Batch analysis #1, scan date 2024-06-15
PID-0031	10.1182/bld.9000030	Glimcher	Blood	2008	Fig.8B-vs-Fig.4C	0.9901	DUPLICATE	ImageTwin_v2.1	pending	Batch analysis #1, scan date 2024-07-15
PID-0032	10.1182/bld.9000031	Anderson	PNAS	2006	Fig.2D-vs-Fig.3B	0.8541	SIMILAR	ImageTwin_v2.1	confirmed	Batch analysis #1, scan date 2024-08-15
PID-0033	10.1182/bld.9000032	Ghobrial	Molecular Cell	2010	Fig.6C-vs-Fig.3C	0.4792	DISTINCT	ImageTwin_v2.1	pending	Batch analysis #1, scan date 2024-09-15
PID-0034	10.1182/bld.9000033	Anderson	Molecular Cell	2022	Fig.5A-vs-Fig.4C	0.508	DISTINCT	ImageTwin_v2.1	confirmed	Batch analysis #1, scan date 2024-10-15
PID-0035	10.1182/bld.9000034	Hahn	Blood	2020	Fig.6A-vs-Fig.7B	0.6806	DISTINCT	ImageTwin_v2.1	reviewed	Batch analysis #1, scan date 2024-11-15
PID-0036	10.1182/bld.9000035	Hahn	Oncogene	2000	Fig.4A-vs-Fig.7D	0.8577	SIMILAR	ImageTwin_v2.1	reviewed	Batch analysis #1, scan date 2024-12-15
PID-0037	10.1182/bld.9000036	Ghobrial	Science	2012	Fig.3B-vs-Fig.3C	0.9873	DUPLICATE	ImageTwin_v2.1	pending	Batch analysis #1, scan date 2024-01-15
PID-0038	10.1182/bld.9000037	Anderson	PNAS	2007	Fig.8C-vs-Fig.4D	0.6329	DISTINCT	ImageTwin_v2.1	confirmed	Batch analysis #1, scan date 2024-02-15
PID-0039	10.1182/bld.9000038	Glimcher	Molecular Cell	2012	Fig.1D-vs-Fig.3B	0.8549	SIMILAR	ImageTwin_v2.1	reviewed	Batch analysis #1, scan date 2024-03-15
PID-0040	10.1182/bld.9000039	Anderson	Leukemia	2007	Fig.3D-vs-Fig.5A	0.6964	DISTINCT	ImageTwin_v2.1	reviewed	Batch analysis #1, scan date 2024-04-15
PID-0041	10.1182/bld.9000040	Ghobrial	Leukemia	2010	Fig.5B-vs-Fig.5C	0.5945	DISTINCT	ImageTwin_v2.1	confirmed	Batch analysis #1, scan date 2024-05-15
PID-0042	10.1182/bld.9000041	Hahn	Cancer Cell	2006	Fig.6C-vs-Fig.8C	0.6999	DISTINCT	ImageTwin_v2.1	reviewed	Batch analysis #1, scan date 2024-06-15
PID-0043	10.1182/bld.9000042	Ghobrial	Blood	2002	Fig.6B-vs-Fig.2D	0.9859	DUPLICATE	ImageTwin_v2.1	reviewed	Batch analysis #1, scan date 2024-07-15
PID-0044	10.1182/bld.9000043	Anderson	PNAS	2008	Fig.5C-vs-Fig.5C	0.7964	DISTINCT	ImageTwin_v2.1	confirmed	Batch analysis #1, scan date 2024-08-15
PID-0045	10.1182/bld.9000044	Hahn	Oncogene	2003	Fig.6D-vs-Fig.6C	0.558	DISTINCT	ImageTwin_v2.1	pending	Batch analysis #1, scan date 2024-09-15
PID-0046	10.1182/bld.9000045	Glimcher	PNAS	1998	Fig.8D-vs-Fig.7D	0.5766	DISTINCT	ImageTwin_v2.1	pending	Batch analysis #1, scan date 2024-10-15
PID-0047	10.1182/bld.9000046	Hahn	Leukemia	2021	Fig.8D-vs-Fig.2B	0.9052	SIMILAR	ImageTwin_v2.1	pending	Batch analysis #1, scan date 2024-11-15
PID-0048	10.1182/bld.9000047	Glimcher	Oncogene	1999	Fig.8C-vs-Fig.7B	0.9033	SIMILAR	ImageTwin_v2.1	confirmed	Batch analysis #1, scan date 2024-12-15
PID-0049	10.1182/bld.9000048	Ghobrial	Science	2014	Fig.5B-vs-Fig.5D	0.8764	SIMILAR	ImageTwin_v2.1	pending	Batch analysis #1, scan date 2024-01-15
PID-0050	10.1182/bld.9000049	Ghobrial	Oncogene	2009	Fig.6A-vs-Fig.2D	0.7861	DISTINCT	ImageTwin_v2.1	reviewed	Batch analysis #1, scan date 2024-02-15
PID-0051	10.1182/bld.9000050	Glimcher	Leukemia	2013	Fig.3C-vs-Fig.1C	0.4656	DISTINCT	ImageTwin_v2.1	pending	Batch analysis #2, scan date 2024-03-15
PID-0052	10.1182/bld.9000051	Anderson	Molecular Cell	2022	Fig.1A-vs-Fig.4D	0.9223	SIMILAR	ImageTwin_v2.1	pending	Batch analysis #2, scan date 2024-04-15
PID-0053	10.1182/bld.9000052	Ghobrial	Leukemia	2020	Fig.1B-vs-Fig.2D	0.5413	DISTINCT	ImageTwin_v2.1	reviewed	Batch analysis #2, scan date 2024-05-15
PID-0054	10.1182/bld.9000053	Glimcher	Oncogene	2016	Fig.3C-vs-Fig.8B	0.6316	DISTINCT	ImageTwin_v2.1	pending	Batch analysis #2, scan date 2024-06-15
PID-0055	10.1182/bld.9000054	Ghobrial	Cancer Cell	2013	Fig.5A-vs-Fig.2B	0.6161	DISTINCT	ImageTwin_v2.1	disputed	Batch analysis #2, scan date 2024-07-15
PID-0056	10.1182/bld.9000055	Glimcher	Science	2000	Fig.4A-vs-Fig.3A	0.4593	DISTINCT	ImageTwin_v2.1	confirmed	Batch analysis #2, scan date 2024-08-15
