doi,journal,year,lead_author,issue_type,researcher_group,flagged_by
10.1038/nm.3867,Nature Medicine,2015,Anderson KC,western_blot_manipulation,Anderson,Sholto_David
10.1182/blood-2008-10-186668,Blood,2009,Ghobrial IM,mouse_figure_fabrication,Ghobrial,Sholto_David
10.1038/22780,Nature,1999,Hahn WC,image_duplication,Hahn,Sholto_David
10.1126/science.1123480,Science,2006,Glimcher LH,image_duplication,Glimcher,Sholto_David
10.1016/j.ccr.2007.02.015,Cancer Cell,2007,Anderson KC,western_blot_manipulation,Anderson,Sholto_David
10.1016/j.ccr.2943648,Cell,2013,Richardson et al.,image_duplication,Anderson,Sholto_David
10.1002/jco.9348581,Cell,2021,Glimcher et al.,image_duplication,Hahn,Sholto_David
10.1038/nm.6056712,Science,2004,Munshi et al.,image_duplication,Ghobrial,Sholto_David
10.1016/j.ccr.6659363,Nature,2008,Anderson et al.,image_duplication,Glimcher,Sholto_David
10.1016/j.ccr.5969159,Nature Medicine,2014,Glimcher et al.,image_duplication,Ghobrial,Sholto_David
10.1038/nm.5792469,Experimental Hematology,2004,Mitsiades et al.,image_duplication,Hahn,Sholto_David
10.1182/bld.2539112,Journal of Clinical Oncology,2020,Ghobrial et al.,image_duplication,Hahn,Sholto_David
10.1182/blood.1343794,Blood,2005,Munshi et al.,western_blot_manipulation,Hahn,Sholto_David
10.1182/blood.4429481,Nature Medicine,2007,Glimcher et al.,image_duplication,Anderson,Sholto_David
10.1002/jco.3550986,Cancer Cell,2014,Hahn et al.,image_duplication,Hahn,Sholto_David
10.1182/blood.2391823,Nature Medicine,2014,Ghobrial et al.,western_blot_manipulation,Glimcher,Sholto_David
10.1126/sci.1989091,Blood,2017,Ghobrial et al.,image_duplication,Glimcher,Sholto_David
10.1126/sci.0201993,Nature Medicine,2006,Glimcher et al.,image_duplication,Anderson,Sholto_David
10.1182/blood.5477369,Nature Medicine,2013,Munshi et al.,western_blot_manipulation,Hahn,Sholto_David
10.1038/nm.6325701,Experimental Hematology,2007,Anderson et al.,image_duplication,Anderson,Sholto_David
10.1182/blood.3978780,Cell,1999,Mitsiades et al.,western_blot_manipulation,Ghobrial,Sholto_David
10.1016/j.ccr.2391612,Nature,2006,Anderson et al.,image_duplication,Ghobrial,Sholto_David
10.1016/j.ccr.2576795,Journal of Clinical Oncology,2013,Anderson et al.,image_duplication,Glimcher,Sholto_David
10.1016/j.ccr.2810604,Science,2011,Hahn et al.,image_duplication,Hahn,Sholto_David
10.1126/sci.9161946,Cell,2016,Ghobrial et al.,image_duplication,Glimcher,Sholto_David
10.1016/j.ccr.3689679,Molecular Cell,2001,Glimcher et al.,mouse_figure_fabrication,Ghobrial,Sholto_David
10.1126/sci.7166458,Science,2009,Glimcher et al.,image_duplication,Ghobrial,Sholto_David
10.1182/bld.7944378,Nature,2011,Carrasco et al.,western_blot_manipulation,Hahn,Sholto_David
