study_id,paper_doi,condition,participant_id,dv_primary,dv_secondary,manipulation_check,age,gender,education,session_date,response_time_ms,attrition_flag,note
S0001,10.1073/pnas.1209746109,control,P00001,4.452,3.126,5.24,65,F,HS,2019-10-14,313306,1,combined_row_1
S0002,10.1177/0956797614520714,control,P00002,4.929,3.591,4.99,30,NB,Other,2019-07-08,2064119,0,combined_row_2
S0003,10.1073/pnas.1209746109,control,P00003,4.15,3.022,6.12,39,M,HS,2019-07-04,1685668,0,combined_row_3
S0004,10.1177/0956797615575277,control,P00004,6.997,3.658,4.02,42,M,Other,2019-05-27,1696807,0,combined_row_4
S0005,10.1073/pnas.1209746109,control,P00005,3.406,2.485,6.57,24,M,MA,2019-08-21,1710217,0,combined_row_5
S0006,10.1177/0956797615575277,control,P00006,4.281,3.127,3.91,61,NB,HS,2019-10-21,897807,0,combined_row_6
S0007,10.1177/0956797614520714,control,P00007,3.575,3.968,6.09,32,NB,MA,2019-01-08,314638,0,combined_row_7
S0008,10.1037/pspa0000226,treatment_a,P00008,3.672,5.62,5.71,54,NB,MA,2019-04-21,2273927,0,combined_row_8
S0009,10.1037/pspa0000226,control,P00009,4.416,4.474,4.42,55,M,Other,2019-07-12,1099897,0,combined_row_9
S0010,10.1177/0956797614520714,treatment_b,P00010,4.148,2.29,5.05,25,F,BA,2019-11-14,446454,0,combined_row_10
S0011,10.1037/pspa0000226,treatment_b,P00011,4.486,4.942,6.13,25,NB,Other,2019-05-25,1606799,0,combined_row_11
S0012,10.1037/pspa0000226,control,P00012,3.859,1.662,5.57,64,F,Other,2019-03-17,626319,0,combined_row_12
S0013,10.1177/0956797615575277,treatment_b,P00013,3.702,3.771,4.67,51,M,Other,2019-06-16,261691,0,combined_row_13
S0014,10.1177/0956797615575277,treatment_a,P00014,5.007,3.844,5.59,54,M,HS,2019-12-16,470298,0,combined_row_14
S0015,10.1177/0956797614520714,control,P00015,2.938,1.961,5.5,56,M,BA,2019-09-25,1023688,0,combined_row_15
S0016,10.1037/pspa0000226,treatment_b,P00016,5.766,3.231,4.31,51,M,HS,2019-04-08,448544,0,combined_row_16
S0017,10.1177/0956797614520714,treatment_b,P00017,4.586,4.139,4.61,20,F,HS,2019-09-08,1348018,0,combined_row_17
S0018,10.1177/0956797614520714,treatment_b,P00018,3.865,5.22,6.38,54,F,PhD,2019-04-26,2163792,0,combined_row_18
S0019,10.1177/0956797614520714,control,P00019,5.545,4.347,4.2,64,M,HS,2019-01-13,1603138,0,combined_row_19
S0020,10.1073/pnas.1209746109,control,P00020,5.122,4.2,5.93,26,M,BA,2019-05-15,1227764,0,combined_row_20
S0021,10.1073/pnas.1209746109,treatment_a,P00021,5.342,2.145,5.95,52,M,HS,2019-04-06,1884624,0,combined_row_21
S0022,10.1177/0956797614520714,treatment_a,P00022,5.506,4.242,4.72,18,M,MA,2019-08-10,1954221,0,combined_row_22
S0023,10.1037/pspa0000226,control,P00023,4.81,4.386,6.22,21,NB,MA,2019-01-02,2179795,0,combined_row_23
S0024,10.1177/0956797614520714,control,P00024,5.203,4.157,4.92,29,M,Other,2019-02-22,1166516,0,combined_row_24
S0025,10.1177/0956797614520714,treatment_b,P00025,3.118,3.1,4.07,51,F,MA,2019-04-22,1497782,0,combined_row_25
S0026,10.1037/pspa0000226,control,P00026,5.272,3.441,4.4,38,M,HS,2019-08-20,599351,1,combined_row_26
S0027,10.1177/0956797614520714,treatment_b,P00027,4.234,5.885,6.21,41,F,BA,2019-08-27,1448848,0,combined_row_27
S0028,10.1073/pnas.1209746109,treatment_b,P00028,2.821,4.111,4.38,60,M,BA,2019-05-04,628941,0,combined_row_28
S0029,10.1177/0956797614520714,treatment_a,P00029,4.336,4.407,4.33,34,F,PhD,2019-05-28,393066,0,combined_row_29
S0030,10.1037/pspa0000226,treatment_a,P00030,6.027,4.58,5.2,26,NB,MA,2019-03-24,2033192,0,combined_row_30
S0031,10.1037/pspa0000226,treatment_b,P00031,4.974,3.822,6.29,52,M,MA,2019-10-18,801150,0,combined_row_31
S0032,10.1073/pnas.1209746109,treatment_a,P00032,2.759,2.419,6.4,20,F,BA,2019-11-08,611147,0,combined_row_32
S0033,10.1037/pspa0000226,treatment_b,P00033,4.491,1.747,5.04,29,M,HS,2019-03-24,1573286,0,combined_row_33
S0034,10.1037/pspa0000226,treatment_b,P00034,5.212,4.879,3.9,35,F,HS,2019-07-28,342422,0,combined_row_34
S0035,10.1177/0956797614520714,control,P00035,5.041,2.887,4.52,32,F,HS,2019-11-07,1851287,0,combined_row_35
S0036,10.1073/pnas.1209746109,treatment_a,P00036,6.51,3.162,5.77,61,F,MA,2019-01-04,1275615,0,combined_row_36
S0037,10.1177/0956797615575277,control,P00037,5.496,4.405,4.91,56,F,HS,2019-07-19,977248,0,combined_row_37
S0038,10.1037/pspa0000226,control,P00038,3.468,2.182,4.82,61,NB,BA,2019-06-14,473491,0,combined_row_38
S0039,10.1177/0956797615575277,treatment_b,P00039,3.589,5.408,4.87,37,NB,PhD,2019-06-13,1420067,0,combined_row_39
