date,unit,patient_census
2024-10-01,ICU,6
2024-10-01,Med/Surg,27
2024-10-01,Step-Down,11
2024-10-01,Telemetry,12
2024-10-01,ED,20
2024-10-01,Psychiatric,16
2024-10-02,ICU,8
2024-10-02,Med/Surg,30
2024-10-02,Step-Down,14
2024-10-02,Telemetry,15
2024-10-02,ED,17
2024-10-02,Psychiatric,15
2024-10-03,ICU,9
2024-10-03,Med/Surg,30
2024-10-03,Step-Down,10
2024-10-03,Telemetry,14
2024-10-03,ED,20
2024-10-03,Psychiatric,16
2024-10-04,ICU,6
2024-10-04,Med/Surg,30
2024-10-04,Step-Down,10
2024-10-04,Telemetry,15
2024-10-04,ED,17
2024-10-04,Psychiatric,15
2024-10-05,ICU,8
2024-10-05,Med/Surg,26
2024-10-05,Step-Down,14
2024-10-05,Telemetry,15
2024-10-05,ED,18
2024-10-05,Psychiatric,12
2024-10-06,ICU,7
2024-10-06,Med/Surg,27
2024-10-06,Step-Down,12
2024-10-06,Telemetry,13
2024-10-06,ED,17
2024-10-06,Psychiatric,13
2024-10-07,ICU,10
2024-10-07,Med/Surg,28
2024-10-07,Step-Down,10
2024-10-07,Telemetry,13
2024-10-07,ED,20
2024-10-07,Psychiatric,14
2024-10-08,ICU,10
2024-10-08,Med/Surg,27
2024-10-08,Step-Down,10
2024-10-08,Telemetry,14
2024-10-08,ED,18
2024-10-08,Psychiatric,13
2024-10-09,ICU,8
2024-10-09,Med/Surg,26
2024-10-09,Step-Down,13
2024-10-09,Telemetry,13
2024-10-09,ED,18
2024-10-09,Psychiatric,16
2024-10-10,ICU,7
2024-10-10,Med/Surg,26
2024-10-10,Step-Down,11
2024-10-10,Telemetry,15
2024-10-10,ED,16
2024-10-10,Psychiatric,13
2024-10-11,ICU,9
2024-10-11,Med/Surg,26
2024-10-11,Step-Down,12
2024-10-11,Telemetry,16
2024-10-11,ED,17
2024-10-11,Psychiatric,13
2024-10-12,ICU,6
2024-10-12,Med/Surg,29
2024-10-12,Step-Down,10
2024-10-12,Telemetry,12
2024-10-12,ED,18
2024-10-12,Psychiatric,13
2024-10-13,ICU,7
2024-10-13,Med/Surg,28
2024-10-13,Step-Down,11
2024-10-13,Telemetry,12
2024-10-13,ED,20
2024-10-13,Psychiatric,16
2024-10-14,ICU,6
2024-10-14,Med/Surg,28
2024-10-14,Step-Down,14
2024-10-14,Telemetry,12
2024-10-14,ED,16
2024-10-14,Psychiatric,14
2024-10-15,ICU,7
2024-10-15,Med/Surg,30
2024-10-15,Step-Down,11
2024-10-15,Telemetry,15
2024-10-15,ED,16
2024-10-15,Psychiatric,15
2024-10-16,ICU,10
2024-10-16,Med/Surg,27
2024-10-16,Step-Down,14
2024-10-16,Telemetry,13
2024-10-16,ED,20
2024-10-16,Psychiatric,12
2024-10-17,ICU,6
2024-10-17,Med/Surg,29
2024-10-17,Step-Down,13
2024-10-17,Telemetry,13
2024-10-17,ED,17
2024-10-17,Psychiatric,16
2024-10-18,ICU,9
2024-10-18,Med/Surg,28
2024-10-18,Step-Down,14
2024-10-18,Telemetry,15
2024-10-18,ED,18
2024-10-18,Psychiatric,12
2024-10-19,ICU,9
2024-10-19,Med/Surg,29
2024-10-19,Step-Down,13
2024-10-19,Telemetry,12
2024-10-19,ED,20
2024-10-19,Psychiatric,14
2024-10-20,ICU,9
2024-10-20,Med/Surg,29
2024-10-20,Step-Down,10
2024-10-20,Telemetry,13
2024-10-20,ED,19
2024-10-20,Psychiatric,16
2024-10-21,ICU,7
2024-10-21,Med/Surg,28
2024-10-21,Step-Down,14
2024-10-21,Telemetry,16
2024-10-21,ED,19
2024-10-21,Psychiatric,16
2024-10-22,ICU,6
2024-10-22,Med/Surg,28
2024-10-22,Step-Down,11
2024-10-22,Telemetry,13
2024-10-22,ED,18
2024-10-22,Psychiatric,14
2024-10-23,ICU,8
2024-10-23,Med/Surg,27
2024-10-23,Step-Down,12
2024-10-23,Telemetry,15
2024-10-23,ED,18
2024-10-23,Psychiatric,12
2024-10-24,ICU,10
2024-10-24,Med/Surg,28
2024-10-24,Step-Down,11
2024-10-24,Telemetry,14
2024-10-24,ED,18
2024-10-24,Psychiatric,16
2024-10-25,ICU,7
2024-10-25,Med/Surg,30
2024-10-25,Step-Down,12
2024-10-25,Telemetry,14
2024-10-25,ED,19
2024-10-25,Psychiatric,16
2024-10-26,ICU,6
2024-10-26,Med/Surg,27
2024-10-26,Step-Down,10
2024-10-26,Telemetry,12
2024-10-26,ED,18
2024-10-26,Psychiatric,14
2024-10-27,ICU,10
2024-10-27,Med/Surg,26
2024-10-27,Step-Down,13
2024-10-27,Telemetry,15
2024-10-27,ED,17
2024-10-27,Psychiatric,12
2024-10-28,ICU,8
2024-10-28,Med/Surg,27
2024-10-28,Step-Down,12
2024-10-28,Telemetry,16
2024-10-28,ED,17
2024-10-28,Psychiatric,15
2024-10-29,ICU,8
2024-10-29,Med/Surg,26
2024-10-29,Step-Down,11
2024-10-29,Telemetry,15
2024-10-29,ED,18
2024-10-29,Psychiatric,16
2024-10-30,ICU,8
2024-10-30,Med/Surg,27
2024-10-30,Step-Down,13
2024-10-30,Telemetry,14
2024-10-30,ED,20
2024-10-30,Psychiatric,13
2024-10-31,ICU,10
2024-10-31,Med/Surg,29
2024-10-31,Step-Down,10
2024-10-31,Telemetry,12
2024-10-31,ED,16
2024-10-31,Psychiatric,13
