month,department,employee_count,total_gross_wages,total_benefits,total_severance_accrued,avg_salary
2025-01,Engineering,55,520254.17,114455.92,15607.63,113510
2025-01,Sales,17,114111.08,25104.44,3423.33,80549
2025-01,Marketing,53,768681.08,169109.84,23060.43,174041
2025-01,HR,39,451538.75,99338.52,13546.16,138935
2025-01,Finance,32,250373.33,55082.13,7511.2,93890
2025-01,Legal,51,445370.25,97981.46,13361.11,104793
2025-01,Operations,34,282525.83,62155.68,8475.77,99715
2025-01,Product,34,319313.83,70249.04,9579.41,112699
2025-02,Engineering,32,473600.0,104192.0,14208.0,177600
2025-02,Sales,59,457368.0,100620.96,13721.04,93024
2025-02,Marketing,38,501543.0,110339.46,15046.29,158382
2025-02,HR,56,704186.0,154920.92,21125.58,150897
2025-02,Finance,51,502358.5,110518.87,15070.75,118202
2025-02,Legal,20,255051.67,56111.37,7651.55,153031
2025-02,Operations,55,371602.92,81752.64,11148.09,81077
2025-02,Product,39,281648.25,61962.61,8449.45,86661
2025-03,Engineering,16,116941.33,25727.09,3508.24,87706
2025-03,Sales,16,192664.0,42386.08,5779.92,144498
2025-03,Marketing,46,645081.0,141917.82,19352.43,168282
2025-03,HR,24,242316.0,53309.52,7269.48,121158
2025-03,Finance,26,316862.0,69709.64,9505.86,146244
2025-03,Legal,42,469805.0,103357.1,14094.15,134230
2025-03,Operations,51,640891.5,140996.13,19226.74,150798
2025-03,Product,38,370040.83,81408.98,11101.22,116855
2025-04,Engineering,45,453000.0,99660.0,13590.0,120800
2025-04,Sales,55,567141.67,124771.17,17014.25,123740
2025-04,Marketing,38,305279.33,67161.45,9158.38,96404
2025-04,HR,49,616081.08,135537.84,18482.43,150877
2025-04,Finance,50,653445.83,143758.08,19603.37,156827
2025-04,Legal,33,379819.0,83560.18,11394.57,138116
2025-04,Operations,26,214016.83,47083.7,6420.5,98777
2025-04,Product,20,188110.0,41384.2,5643.3,112866
2025-05,Engineering,34,265548.5,58420.67,7966.45,93723
2025-05,Sales,48,360876.0,79392.72,10826.28,90219
2025-05,Marketing,44,314512.0,69192.64,9435.36,85776
2025-05,HR,56,498278.67,109621.31,14948.36,106774
2025-05,Finance,41,304110.67,66904.35,9123.32,89008
2025-05,Legal,18,196089.0,43139.58,5882.67,130726
2025-05,Operations,28,348196.33,76603.19,10445.89,149227
2025-05,Product,49,436340.92,95995.0,13090.23,106859
2025-06,Engineering,55,484522.5,106594.95,14535.67,105714
2025-06,Sales,51,644631.5,141818.93,19338.94,151678
2025-06,Marketing,57,588092.75,129380.4,17642.78,123809
2025-06,HR,44,439787.33,96753.21,13193.62,119942
2025-06,Finance,28,359473.33,79084.13,10784.2,154060
2025-06,Legal,24,250948.0,55208.56,7528.44,125474
2025-06,Operations,40,550466.67,121102.67,16514.0,165140
2025-06,Product,15,135467.5,29802.85,4064.02,108374
