field_number,field_name,description,format,required,timezone_note
1,Transaction reference number,Unique reference assigned by the investment firm,AN..52,Yes,N/A
2,Trading venue transaction identification code,Transaction identification code as assigned by the trading venue,AN..52,Conditional,N/A
3,Executing entity identification code,LEI of the entity executing the transaction,AN..20,Yes,N/A
4,Investment firm covered by Directive 2014/65/EU,Indicator for MiFID II firms,Boolean,Yes,N/A
5,Submitting entity identification code,LEI of the submitting entity,AN..20,Conditional,N/A
6,Buyer identification code,Identification code of the buyer,AN..20,Yes,N/A
7,Buyer - decision maker,Identification code of the decision maker on the buy side,AN..20,Conditional,N/A
8,Buyer - first name,First name of the natural person buyer,AN..140,Conditional,N/A
9,Buyer - surname,Surname of the natural person buyer,AN..140,Conditional,N/A
10,Buyer - date of birth,Date of birth of the natural person buyer,ISO 8601 date,Conditional,N/A
11,Seller identification code,Identification code of the seller,AN..20,Yes,N/A
12,Seller - decision maker,Identification code of the decision maker on the sell side,AN..20,Conditional,N/A
13,Seller - first name,First name of the natural person seller,AN..140,Conditional,N/A
14,Seller - surname,Surname of the natural person seller,AN..140,Conditional,N/A
15,Seller - date of birth,Date of birth of the natural person seller,ISO 8601 date,Conditional,N/A
16,Transmission of order indicator,Indicator for whether there was a transmission of order,Boolean,Yes,N/A
17,Transmitting firm identification code for the buyer,LEI of the transmitting firm,AN..20,Conditional,N/A
18,Transmitting firm identification code for the seller,LEI of the transmitting firm,AN..20,Conditional,N/A
19,Transaction price,Price at which the transaction was executed,"N..18,13",Yes,N/A
20,Price notation,Method of expressing the Transaction price,AN..4,Yes,N/A
21,Currency of price,Currency in which the price is expressed,ISO 4217 3-char,Conditional,N/A
22,Quantity,Number of units of the financial instrument,"N..18,17",Yes,N/A
23,Quantity notation and price multiplier,Qualifications on the quantity reported,AN..4,Yes,N/A
24,Venue,Venue where the transaction was executed,ISO 10383 MIC,Yes,N/A
25,Country of the branch membership,Country code (ISO 3166-1 alpha-2),AN..2,Conditional,N/A
26,Up-front payment,Monetary value of up-front payment,"N..18,5",Conditional,N/A
27,Up-front payment currency,Currency of up-front payment,ISO 4217 3-char,Conditional,N/A
28,trading date and time,"Date and time of the transaction, as reported to the trading venue. MUST be in UTC (Coordinated Universal Time). DST transitions must not affect the UTC value. Common error: reporting in local time (e.g. EDT/BST) instead of UTC.",ISO 8601 datetime with UTC timezone (Z suffix),Yes,CRITICAL: Must be UTC. BST/EDT errors flagged by FCA Market Watch 59.
29,Trading capacity,Indicator for trading capacity of the investment firm,AN..4,Yes,N/A
30,Quantity in original notional amount,Original notional amount of the transaction,"N..18,5",Conditional,N/A
31,Derivative notional currency 1,Currency in which the notional is denominated,ISO 4217 3-char,Conditional,N/A
32,Price multiplier,Number of units of the underlying instrument,"N..18,17",Conditional,N/A
33,Underlying instrument code,ISIN of the underlying instrument,AN..12,Conditional,N/A
34,Underlying index name,Name of the underlying index,AN..25,Conditional,N/A
35,Term of the underlying index,Period of the underlying index,AN..10,Conditional,N/A
36,Option type,Type of option (Put/Call),AN..4,Conditional,N/A
37,Strike price,Strike price of the option,"N..18,13",Conditional,N/A
38,Strike price notation,Method of expressing the strike price,AN..4,Conditional,N/A
39,Option exercise style,European/American/other,AN..4,Conditional,N/A
40,Maturity date,Maturity/expiry date of the derivative,ISO 8601 date,Conditional,N/A
41,Delivery type,Physical/cash/other delivery,AN..4,Conditional,N/A
42,Investment decision within firm,Code for algorithm/person making investment decision,AN..50,Conditional,N/A
43,Execution within firm,Code for algorithm/person executing transaction,AN..50,Conditional,N/A
44,Waiver indicator,Indicator for pre-trade transparency waiver,AN..16,Conditional,N/A
45,Short selling indicator,Indicator for short selling,AN..4,Conditional,N/A
46,OTC post-trade indicator,Indicator for post-trade transparency waiver for OTC transactions,AN..16,Conditional,N/A
47,Commodity derivative indicator,Indicator for commodity derivative,Boolean,Conditional,N/A
48,Securities financing transaction indicator,Indicator for SFT,Boolean,Yes,N/A
49,FX product classification indicator,Indicator for FX products,Boolean,Conditional,N/A
50,Instrument identification code,ISIN of the financial instrument,AN..12,Yes,N/A
51,Instrument full name,Full name of the financial instrument,AN..350,Conditional,N/A
52,Instrument classification,CFI code of the financial instrument,AN..6,Conditional,N/A
53,Notional currency 1,Currency of the notional amount,ISO 4217 3-char,Conditional,N/A
54,Notional currency 2,Additional currency for dual-currency instruments,ISO 4217 3-char,Conditional,N/A
55,Price/fee/profit/loss,Measure of the derivative's price,"N..18,5",Conditional,N/A
56,Flag for price,Indicates whether price includes commission/fee,Boolean,Conditional,N/A
57,Publication date,Date on which the transaction report was published,ISO 8601 date,Conditional,N/A
58,Venue of sub-acquisition,Where the market maker acquires the underlying,ISO 10383 MIC,Conditional,N/A
59,Submission timestamp,Date and time of submission to the ARM/trading venue,ISO 8601 datetime UTC,Yes,Must be UTC
60,Validity period,Period during which the report is valid,AN..4,Conditional,N/A
61,Complex trade component ID,ID linking legs of complex trades,AN..35,Conditional,N/A
62,Branch code,Branch code for cross-border transactions,AN..8,Conditional,N/A
63,Country of the branch responsible for the person making the investment decision,Country code,AN..2,Conditional,N/A
64,Country of the branch responsible for execution,Country code,AN..2,Conditional,N/A
65,Trading obligation,Whether the trade is subject to trading obligation,Boolean,Conditional,N/A
field_number,field_name,description,format,required,timezone_note
1,Transaction reference number,Unique reference assigned by the investment firm,AN..52,Yes,N/A
2,Trading venue transaction identification code,Transaction identification code as assigned by the trading venue,AN..52,Conditional,N/A
3,Executing entity identification code,LEI of the entity executing the transaction,AN..20,Yes,N/A
4,Investment firm covered by Directive 2014/65/EU,Indicator for MiFID II firms,Boolean,Yes,N/A
5,Submitting entity identification code,LEI of the submitting entity,AN..20,Conditional,N/A
6,Buyer identification code,Identification code of the buyer,AN..20,Yes,N/A
7,Buyer - decision maker,Identification code of the decision maker on the buy side,AN..20,Conditional,N/A
8,Buyer - first name,First name of the natural person buyer,AN..140,Conditional,N/A
9,Buyer - surname,Surname of the natural person buyer,AN..140,Conditional,N/A
10,Buyer - date of birth,Date of birth of the natural person buyer,ISO 8601 date,Conditional,N/A
11,Seller identification code,Identification code of the seller,AN..20,Yes,N/A
12,Seller - decision maker,Identification code of the decision maker on the sell side,AN..20,Conditional,N/A
13,Seller - first name,First name of the natural person seller,AN..140,Conditional,N/A
14,Seller - surname,Surname of the natural person seller,AN..140,Conditional,N/A
15,Seller - date of birth,Date of birth of the natural person seller,ISO 8601 date,Conditional,N/A
16,Transmission of order indicator,Indicator for whether there was a transmission of order,Boolean,Yes,N/A
17,Transmitting firm identification code for the buyer,LEI of the transmitting firm,AN..20,Conditional,N/A
18,Transmitting firm identification code for the seller,LEI of the transmitting firm,AN..20,Conditional,N/A
19,Transaction price,Price at which the transaction was executed,"N..18,13",Yes,N/A
20,Price notation,Method of expressing the Transaction price,AN..4,Yes,N/A
21,Currency of price,Currency in which the price is expressed,ISO 4217 3-char,Conditional,N/A
22,Quantity,Number of units of the financial instrument,"N..18,17",Yes,N/A
23,Quantity notation and price multiplier,Qualifications on the quantity reported,AN..4,Yes,N/A
24,Venue,Venue where the transaction was executed,ISO 10383 MIC,Yes,N/A
25,Country of the branch membership,Country code (ISO 3166-1 alpha-2),AN..2,Conditional,N/A
26,Up-front payment,Monetary value of up-front payment,"N..18,5",Conditional,N/A
27,Up-front payment currency,Currency of up-front payment,ISO 4217 3-char,Conditional,N/A
28,trading date and time,"Date and time of the transaction, as reported to the trading venue. MUST be in UTC (Coordinated Universal Time). DST transitions must not affect the UTC value. Common error: reporting in local time (e.g. EDT/BST) instead of UTC.",ISO 8601 datetime with UTC timezone (Z suffix),Yes,CRITICAL: Must be UTC. BST/EDT errors flagged by FCA Market Watch 59.
29,Trading capacity,Indicator for trading capacity of the investment firm,AN..4,Yes,N/A
30,Quantity in original notional amount,Original notional amount of the transaction,"N..18,5",Conditional,N/A
31,Derivative notional currency 1,Currency in which the notional is denominated,ISO 4217 3-char,Conditional,N/A
32,Price multiplier,Number of units of the underlying instrument,"N..18,17",Conditional,N/A
33,Underlying instrument code,ISIN of the underlying instrument,AN..12,Conditional,N/A
34,Underlying index name,Name of the underlying index,AN..25,Conditional,N/A
35,Term of the underlying index,Period of the underlying index,AN..10,Conditional,N/A
36,Option type,Type of option (Put/Call),AN..4,Conditional,N/A
37,Strike price,Strike price of the option,"N..18,13",Conditional,N/A
38,Strike price notation,Method of expressing the strike price,AN..4,Conditional,N/A
39,Option exercise style,European/American/other,AN..4,Conditional,N/A
40,Maturity date,Maturity/expiry date of the derivative,ISO 8601 date,Conditional,N/A
41,Delivery type,Physical/cash/other delivery,AN..4,Conditional,N/A
42,Investment decision within firm,Code for algorithm/person making investment decision,AN..50,Conditional,N/A
43,Execution within firm,Code for algorithm/person executing transaction,AN..50,Conditional,N/A
44,Waiver indicator,Indicator for pre-trade transparency waiver,AN..16,Conditional,N/A
45,Short selling indicator,Indicator for short selling,AN..4,Conditional,N/A
46,OTC post-trade indicator,Indicator for post-trade transparency waiver for OTC transactions,AN..16,Conditional,N/A
47,Commodity derivative indicator,Indicator for commodity derivative,Boolean,Conditional,N/A
48,Securities financing transaction indicator,Indicator for SFT,Boolean,Yes,N/A
49,FX product classification indicator,Indicator for FX products,Boolean,Conditional,N/A
50,Instrument identification code,ISIN of the financial instrument,AN..12,Yes,N/A
51,Instrument full name,Full name of the financial instrument,AN..350,Conditional,N/A
52,Instrument classification,CFI code of the financial instrument,AN..6,Conditional,N/A
53,Notional currency 1,Currency of the notional amount,ISO 4217 3-char,Conditional,N/A
54,Notional currency 2,Additional currency for dual-currency instruments,ISO 4217 3-char,Conditional,N/A
55,Price/fee/profit/loss,Measure of the derivative's price,"N..18,5",Conditional,N/A
56,Flag for price,Indicates whether price includes commission/fee,Boolean,Conditional,N/A
57,Publication date,Date on which the transaction report was published,ISO 8601 date,Conditional,N/A
58,Venue of sub-acquisition,Where the market maker acquires the underlying,ISO 10383 MIC,Conditional,N/A
59,Submission timestamp,Date and time of submission to the ARM/trading venue,ISO 8601 datetime UTC,Yes,Must be UTC
60,Validity period,Period during which the report is valid,AN..4,Conditional,N/A
61,Complex trade component ID,ID linking legs of complex trades,AN..35,Conditional,N/A
62,Branch code,Branch code for cross-border transactions,AN..8,Conditional,N/A
