timestamp_utc,instrument,order_id,side,price,qty,local_ts_system,timezone_tag,settlement_date_system
2024-11-03T09:30:00Z,RTYH5,ORD-0020241103000000,BUY,4544.61,5,2024-11-03T05:30:00,UTC-4,2024-11-04
2024-11-03T09:31:22Z,RTYH5,ORD-0020241103000001,BUY,4536.28,13,2024-11-03T05:31:22,UTC-4,2024-11-04
2024-11-03T09:32:44Z,NQZ4,ORD-0020241103000002,SELL,4537.13,7,2024-11-03T05:32:44,UTC-4,2024-11-04
2024-11-03T09:34:06Z,NQZ4,ORD-0020241103000003,SELL,4674.55,14,2024-11-03T05:34:06,UTC-4,2024-11-04
2024-11-03T09:35:29Z,NQZ4,ORD-0020241103000004,BUY,4522.78,15,2024-11-03T05:35:29,UTC-4,2024-11-04
2024-11-03T09:36:51Z,RTYH5,ORD-0020241103000005,SELL,4534.37,14,2024-11-03T05:36:51,UTC-4,2024-11-04
2024-11-03T09:38:13Z,NQZ4,ORD-0020241103000006,SELL,4522.5,15,2024-11-03T05:38:13,UTC-4,2024-11-04
2024-11-03T09:39:36Z,ESZ4,ORD-0020241103000007,SELL,4551.18,18,2024-11-03T05:39:36,UTC-4,2024-11-04
2024-11-03T09:40:58Z,ESZ4,ORD-0020241103000008,SELL,4699.81,7,2024-11-03T05:40:58,UTC-4,2024-11-04
2024-11-03T09:42:20Z,RTYH5,ORD-0020241103000009,SELL,4525.28,16,2024-11-03T05:42:20,UTC-4,2024-11-04
2024-11-03T09:43:43Z,NQZ4,ORD-0020241103000010,BUY,4590.52,17,2024-11-03T05:43:43,UTC-4,2024-11-04
2024-11-03T09:45:05Z,RTYH5,ORD-0020241103000011,SELL,4615.86,15,2024-11-03T05:45:05,UTC-4,2024-11-04
2024-11-03T09:46:27Z,ESZ4,ORD-0020241103000012,BUY,4601.46,16,2024-11-03T05:46:27,UTC-4,2024-11-04
2024-11-03T09:47:49Z,RTYH5,ORD-0020241103000013,SELL,4553.42,12,2024-11-03T05:47:49,UTC-4,2024-11-04
2024-11-03T09:49:12Z,ESZ4,ORD-0020241103000014,SELL,4679.92,11,2024-11-03T05:49:12,UTC-4,2024-11-04
2024-11-03T09:50:34Z,ESZ4,ORD-0020241103000015,SELL,4529.95,20,2024-11-03T05:50:34,UTC-4,2024-11-04
2024-11-03T09:51:56Z,RTYH5,ORD-0020241103000016,BUY,4615.55,19,2024-11-03T05:51:56,UTC-4,2024-11-04
2024-11-03T09:53:19Z,RTYH5,ORD-0020241103000017,BUY,4678.57,15,2024-11-03T05:53:19,UTC-4,2024-11-04
2024-11-03T09:54:41Z,RTYH5,ORD-0020241103000018,SELL,4504.6,7,2024-11-03T05:54:41,UTC-4,2024-11-04
2024-11-03T09:56:03Z,RTYH5,ORD-0020241103000019,SELL,4650.14,18,2024-11-03T05:56:03,UTC-4,2024-11-04
2024-11-03T09:57:26Z,NQZ4,ORD-0020241103000020,BUY,4615.22,2,2024-11-03T05:57:26,UTC-4,2024-11-04
2024-11-03T09:58:48Z,NQZ4,ORD-0020241103000021,BUY,4519.13,10,2024-11-03T05:58:48,UTC-4,2024-11-04
2024-11-03T10:00:10Z,ESZ4,ORD-0020241103000022,BUY,4567.44,7,2024-11-03T06:00:10,UTC-4,2024-11-04
2024-11-03T10:01:32Z,RTYH5,ORD-0020241103000023,SELL,4672.96,1,2024-11-03T06:01:32,UTC-4,2024-11-04
2024-11-03T10:02:55Z,RTYH5,ORD-0020241103000024,BUY,4562.47,10,2024-11-03T06:02:55,UTC-4,2024-11-04
2024-11-03T10:04:17Z,NQZ4,ORD-0020241103000025,SELL,4530.12,9,2024-11-03T06:04:17,UTC-4,2024-11-04
2024-11-03T10:05:39Z,RTYH5,ORD-0020241103000026,BUY,4626.4,15,2024-11-03T06:05:39,UTC-4,2024-11-04
2024-11-03T10:07:02Z,NQZ4,ORD-0020241103000027,BUY,4605.96,11,2024-11-03T06:07:02,UTC-4,2024-11-04
2024-11-03T10:08:24Z,ESZ4,ORD-0020241103000028,SELL,4539.01,13,2024-11-03T06:08:24,UTC-4,2024-11-04
2024-11-03T10:09:46Z,RTYH5,ORD-0020241103000029,SELL,4575.17,10,2024-11-03T06:09:46,UTC-4,2024-11-04
2024-11-03T10:11:09Z,RTYH5,ORD-0020241103000030,SELL,4699.67,14,2024-11-03T06:11:09,UTC-4,2024-11-04
2024-11-03T10:12:31Z,ESZ4,ORD-0020241103000031,BUY,4612.06,2,2024-11-03T06:12:31,UTC-4,2024-11-04
2024-11-03T10:13:53Z,RTYH5,ORD-0020241103000032,BUY,4546.12,11,2024-11-03T06:13:53,UTC-4,2024-11-04
2024-11-03T10:15:15Z,ESZ4,ORD-0020241103000033,SELL,4570.68,16,2024-11-03T06:15:15,UTC-4,2024-11-04
2024-11-03T10:16:38Z,RTYH5,ORD-0020241103000034,BUY,4639.42,5,2024-11-03T06:16:38,UTC-4,2024-11-04
2024-11-03T10:18:00Z,NQZ4,ORD-0020241103000035,BUY,4668.88,6,2024-11-03T06:18:00,UTC-4,2024-11-04
2024-11-03T10:19:22Z,RTYH5,ORD-0020241103000036,BUY,4508.21,1,2024-11-03T06:19:22,UTC-4,2024-11-04
2024-11-03T10:20:45Z,NQZ4,ORD-0020241103000037,BUY,4676.88,4,2024-11-03T06:20:45,UTC-4,2024-11-04
2024-11-03T10:22:07Z,NQZ4,ORD-0020241103000038,BUY,4509.75,15,2024-11-03T06:22:07,UTC-4,2024-11-04
2024-11-03T10:23:29Z,ESZ4,ORD-0020241103000039,BUY,4520.86,13,2024-11-03T06:23:29,UTC-4,2024-11-04
2024-11-03T10:24:52Z,RTYH5,ORD-0020241103000040,SELL,4585.05,11,2024-11-03T06:24:52,UTC-4,2024-11-04
