step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
259,CASH-OUT,49515.56,C2930429,2381183.88,2331668.32,C5904399,1115789.46,1165305.02,0,0
149,CASH-OUT,194779.96,C1040704,141756.23,0,C5696621,1914351.86,2109131.82,0,0
196,CASH-OUT,325084.08,C4068117,1607411.36,1282327.28,C6561463,174364.71,499448.79,0,0
547,CASH-OUT,46019.63,C2205999,4226966.84,4180947.21,C2358098,1394460.87,1440480.5,0,0
610,PAYMENT,14286.0,C4557389,1644380.76,1630094.76,M879232,175531.37,189817.37,0,0
591,CASH-OUT,14877.87,C2786380,2223791.39,2208913.52,C5562123,1553683.56,1568561.43,0,0
125,CASH-OUT,135797.91,C7779203,1239026.31,1103228.4,C9908172,1145326.73,1281124.64,0,0
142,PAYMENT,87307.36,C1588829,2479061.62,2391754.26,M154769,78914.49,166221.85,0,0
367,PAYMENT,102069.64,C5295628,4525592.05,4423522.41,M628497,1376547.09,1478616.73,0,0
58,PAYMENT,311279.08,C2597049,1491175.31,1179896.23,M254570,183649.93,494929.01,0,0
498,TRANSFER,463068.0,C7970568,310991.25,0,C1011927,962846.55,1425914.55,0,1
28,PAYMENT,49376.34,C8822626,4320282.91,4270906.57,M218966,1948918.81,1998295.15,0,0
106,TRANSFER,26234.7,C5387707,3859641.84,3833407.14,C4522083,171918.16,198152.86,0,0
26,CASH-IN,363473.04,C9413969,4834639.28,4471166.24,C7361326,1153115.1,1516588.14,0,0
616,CASH-OUT,127081.86,C2728987,3108928.48,2981846.62,C8909761,590085.54,717167.4,0,0
465,TRANSFER,3324.79,C9162298,178258.83,174934.04,C2186990,1470240.45,1470240.45,1,0
675,TRANSFER,128548.09,C2393930,826741.61,698193.52,C8133080,1902691.9,2031239.99,0,0
472,TRANSFER,136875.27,C7748642,4386421.25,4249545.98,C4254683,1299917.09,1436792.36,0,0
291,TRANSFER,370035.23,C9784818,1575065.33,1205030.1,C6426987,387654.54,757689.77,0,1
378,PAYMENT,1527335.5,C9020727,3838569.4,2311233.9,M885639,1310945.0,2838280.5,0,0
404,CASH-OUT,92072.19,C5276647,4852155.59,4760083.4,C7350686,1750757.29,1842829.48,0,0
675,CASH-OUT,14791.57,C2729965,687826.59,673035.02,C3433313,1859002.69,1873794.26,0,0
218,TRANSFER,159989.99,C1955654,110571.71,0,C9853487,1441139.85,1601129.84,0,0
655,PAYMENT,24618.69,C3700238,4844589.58,4819970.89,M784397,120956.95,145575.64,0,0
529,PAYMENT,157394.46,C7323459,4398696.71,4241302.25,M190857,600849.73,758244.19,0,0
369,CASH-OUT,174249.35,C1085302,2249246.19,2074996.84,C1791175,1686929.51,1861178.86,0,0
546,TRANSFER,14360.42,C1076853,157327.74,142967.32,C2838286,1561730.09,1561730.09,1,0
653,PAYMENT,306277.1,C5279882,4532107.56,4225830.46,M763929,348926.57,655203.67,0,0
685,CASH-IN,8300.39,C7511745,3573822.53,3565522.14,C9583501,356690.84,364991.23,0,0
494,CASH-IN,150998.32,C6410157,2343841.39,2192843.07,C6446837,379779.23,530777.55,0,0
592,CASH-OUT,150083.1,C4281977,3481852.38,3331769.28,C7742961,423394.63,573477.73,0,0
