date,tx_id,amount_usd,status,report_type
2025-12-01,MXT-A-00000,741.88,SETTLED,TC05
2025-12-01,MXT-A-00001,424.37,SETTLED,TC05
2025-12-01,MXT-A-00002,9.87,SETTLED,TC05
2025-12-01,MXT-A-00003,307.7,SETTLED,TC05
2025-12-01,MXT-A-00004,512.96,SETTLED,TC05
2025-12-02,MXT-A-00050,376.69,SETTLED,TC05
2025-12-02,MXT-A-00051,395.97,SETTLED,TC05
2025-12-02,MXT-A-00052,405.79,SETTLED,TC05
2025-12-02,MXT-A-00053,184.75,SETTLED,TC05
2025-12-02,MXT-A-00054,185.22,SETTLED,TC05
2025-12-03,MXT-A-00100,68.56,SETTLED,TC05
2025-12-03,MXT-A-00101,613.16,SETTLED,TC05
2025-12-03,MXT-A-00102,114.15,SETTLED,TC05
2025-12-03,MXT-A-00103,386.15,SETTLED,TC05
2025-12-03,MXT-A-00104,138.32,SETTLED,TC05
2025-12-03,MXT-A-00105,34.05,SETTLED,TC05
2025-12-04,MXT-A-00150,83.57,SETTLED,TC05
2025-12-04,MXT-A-00151,934.83,SETTLED,TC05
2025-12-04,MXT-A-00152,111.59,SETTLED,TC05
2025-12-04,MXT-A-00153,402.23,SETTLED,TC05
2025-12-04,MXT-A-00154,425.79,SETTLED,TC05
2025-12-04,MXT-A-00155,636.0,SETTLED,TC05
2025-12-04,MXT-A-00156,210.52,SETTLED,TC05
2025-12-04,MXT-A-00157,56.0,SETTLED,TC05
2025-12-05,MXT-A-00200,154.6,SETTLED,TC05
2025-12-05,MXT-A-00201,549.23,SETTLED,TC05
2025-12-05,MXT-A-00202,37.72,SETTLED,TC05
2025-12-05,MXT-A-00203,81.73,SETTLED,TC05
2025-12-05,MXT-A-00204,357.97,SETTLED,TC05
2025-12-05,MXT-A-00205,492.76,SETTLED,TC05
2025-12-06,MXT-A-00250,50.38,SETTLED,TC05
2025-12-06,MXT-A-00251,249.53,SETTLED,TC05
2025-12-06,MXT-A-00252,86.77,SETTLED,TC05
2025-12-06,MXT-A-00253,442.8,SETTLED,TC05
2025-12-06,MXT-A-00254,277.67,SETTLED,TC05
2025-12-07,MXT-A-00300,490.0,SETTLED,TC05
2025-12-07,MXT-A-00301,1366.81,SETTLED,TC05
2025-12-07,MXT-A-00302,200.9,SETTLED,TC05
2025-12-07,MXT-A-00303,1682.25,SETTLED,TC05
2025-12-07,MXT-A-00304,109.49,SETTLED,TC05
2025-12-07,MXT-A-00305,682.43,SETTLED,TC05
2025-12-07,MXT-A-00306,35.72,SETTLED,TC05
2025-12-08,MXT-A-00350,726.63,SETTLED,TC05
2025-12-08,MXT-A-00351,259.15,SETTLED,TC05
2025-12-08,MXT-A-00352,143.35,SETTLED,TC05
2025-12-08,MXT-A-00353,558.91,SETTLED,TC05
2025-12-08,MXT-A-00354,538.83,SETTLED,TC05
2025-12-08,MXT-A-00355,401.17,SETTLED,TC05
