date,tx_id,amount_usd,status,is_chargeback
2025-12-01,MXT-B-00000,93.63,SETTLED,0
2025-12-01,MXT-B-00001,452.42,SETTLED,0
2025-12-01,MXT-B-00002,100.83,SETTLED,0
2025-12-01,MXT-B-00003,140.28,SETTLED,0
2025-12-01,MXT-B-00004,273.9,SETTLED,0
2025-12-01,MXT-B-00005,45.84,SETTLED,0
2025-12-01,MXT-B-00006,350.72,SETTLED,0
2025-12-01,MXT-B-00007,190.31,SETTLED,0
2025-12-01,MXT-B-00008,80.69,SETTLED,0
2025-12-01,MXT-B-00009,40.25,SETTLED,0
2025-12-01,MXT-B-00010,71.28,SETTLED,0
2025-12-01,MXT-B-00011,2.69,SETTLED,0
2025-12-02,MXT-B-00130,90.79,SETTLED,0
2025-12-02,MXT-B-00131,4.66,SETTLED,0
2025-12-02,MXT-B-00132,1.55,SETTLED,0
2025-12-02,MXT-B-00133,17.82,SETTLED,0
2025-12-02,MXT-B-00134,322.45,SETTLED,0
2025-12-02,MXT-B-00135,1.45,SETTLED,0
2025-12-02,MXT-B-00136,50.57,SETTLED,0
2025-12-02,MXT-B-00137,67.57,SETTLED,0
2025-12-03,MXT-B-00260,718.14,SETTLED,0
2025-12-03,MXT-B-00261,29.45,SETTLED,0
2025-12-03,MXT-B-00262,48.37,SETTLED,0
2025-12-03,MXT-B-00263,178.4,SETTLED,0
2025-12-03,MXT-B-00264,196.17,SETTLED,0
2025-12-03,MXT-B-00265,57.01,SETTLED,0
2025-12-03,MXT-B-00266,1019.21,SETTLED,0
2025-12-03,MXT-B-00267,5.85,SETTLED,0
2025-12-04,MXT-B-00390,33.9,SETTLED,0
2025-12-04,MXT-B-00391,19.82,SETTLED,0
2025-12-04,MXT-B-00392,323.05,SETTLED,0
2025-12-04,MXT-B-00393,57.13,SETTLED,0
2025-12-04,MXT-B-00394,72.81,SETTLED,0
2025-12-04,MXT-B-00395,60.38,SETTLED,0
2025-12-04,MXT-B-00396,611.49,SETTLED,0
2025-12-04,MXT-B-00397,527.36,SETTLED,0
