customer_id,signup_date,last_active,plan_type,monthly_spend,support_tickets
CUST000001,2022-08-17,3/21/2026,standard,51.02,0
CUST000002,2024-05-14,2026-03-19,basic,21.56,0
CUST000003,2024-05-09,2026-01-30,standard,52.52,8
CUST000004,2023-11-21,2026-03-01,basic,17.90,6
CUST000005,2024-02-15,3/7/2026,standard,77.32,2
CUST000006,2023-04-12,2026-01-12,premium,139.15,13
CUST000007,2023-03-06,2025-10-07,basic,43.10,4
CUST000008,2024-08-04,2025-12-20,basic,42.76,1
CUST000009,2023-04-15,2026-03-19,standard,58.05,4
CUST000010,2024-03-21,2025-10-14,standard,51.92,4
CUST000011,2024-03-28,2025-12-25,basic,44.93,0
CUST000012,2022-11-24,2025-10-04,standard,42.86,3
CUST000013,2022-01-24,2025-10-04,standard,70.68,2
CUST000014,11/20/2022,2025-12-01,basic,36.66,21
CUST000015,2024-11-05,2025-10-23,basic,26.22,4
CUST000016,2022-08-18,12/25/2025,premium,137.37,0
CUST000017,2024-09-22,2026-03-10,premium,114.95,5
CUST000018,2024-05-16,2026-02-01,premium,131.64,5
CUST000019,2024-06-16,2025-11-15,standard,51.16,0
CUST000020,2022-05-26,2025-10-17,basic,17.02,2
CUST000021,2023-03-15,2025-11-09,basic,43.07,3
CUST000022,2022-07-13,2026-03-03,standard,55.94,5
CUST000023,2022-05-05,2025-12-14,standard,76.03,1
CUST000024,2023-07-25,2025-11-29,basic,42.70,4
CUST000025,2022-01-31,2026-03-04,premium,138.65,3
CUST000026,2022-12-04,2025-12-20,basic,26.71,10
CUST000027,2024-09-23,2/16/2026,basic,21.53,5
CUST000028,2024-09-03,2025-11-19,premium,114.83,4
CUST000029,4/27/2023,2025-12-14,basic,0.00,4
CUST000030,2023-10-10,2026-01-20,basic,36.49,3
CUST000031,2022-05-29,2026-03-25,standard,84.93,9
CUST000032,2022-05-21,2026-01-24,basic,19.73,15
CUST000033,2023-09-06,2025-10-09,basic,41.34,0
CUST000034,2023-03-08,12/30/2025,basic,34.03,3
CUST000035,2024-05-17,2026-01-16,basic,25.01,2
CUST000036,2022-01-20,2026-02-27,basic,41.49,11
CUST000037,2023-09-24,2025-12-24,premium,134.71,9
CUST000038,2024-04-12,2025-10-20,standard,81.66,1
CUST000039,2022-02-20,2/10/2026,standard,54.95,9
CUST000040,2022-03-21,2025-11-27,basic,39.50,2
CUST000041,2023-01-31,2025-12-15,basic,40.93,14
CUST000042,2022-02-26,2026-02-26,premium,0.00,2
CUST000043,10/5/2023,2025-12-06,standard,63.01,4
CUST000044,2024-11-30,2025-11-10,standard,82.31,12
CUST000045,2023-10-05,2025-10-09,premium,128.98,2
CUST000046,2022-09-18,2026-02-06,standard,82.32,1
CUST000047,2022-01-01,2026-01-09,basic,27.90,5
CUST000048,2024-11-12,2025-11-26,standard,83.19,10
CUST000049,2023-04-27,2025-10-06,basic,39.20,0
CUST000050,2022-05-30,2025-12-01,standard,68.34,5
CUST000051,2022-01-12,2026-02-28,standard,49.85,13
CUST000052,2024-07-23,2026-02-21,standard,70.04,13
CUST000053,2024-07-02,2026-02-15,standard,61.36,1
CUST000054,2024-09-19,2025-10-18,basic,28.20,11
CUST000055,2023-04-19,12/19/2025,standard,71.79,3
CUST000056,5/10/2024,2025-12-18,premium,118.81,4
CUST000057,2024-03-09,12/10/2025,standard,73.06,13
CUST000058,2023-11-20,2025-10-07,standard,58.19,3
CUST000059,2024-03-17,2025-10-27,standard,41.22,1
CUST000060,11/2/2023,2/1/2026,standard,55.19,12
CUST000061,2022-04-17,12/28/2025,basic,17.06,6
CUST000062,2022-11-09,2026-01-25,basic,35.08,1
CUST000063,2022-08-23,2026-02-14,premium,83.11,2
CUST000064,2023-02-11,2026-03-08,standard,77.38,5
CUST000065,2022-09-05,11/3/2025,standard,55.62,2
CUST000066,2024-05-10,2025-11-22,basic,43.82,3
CUST000067,2023-07-08,2025-10-21,standard,64.22,3
CUST000068,2023-05-18,2026-03-05,basic,28.52,12
CUST000069,2024-09-25,2/1/2026,basic,22.75,4
CUST000070,2023-01-27,2026-03-06,basic,27.19,1
CUST000071,2022-02-05,2026-03-04,basic,27.13,5
CUST000072,2024-05-21,2025-11-07,basic,36.09,2
CUST000073,2023-01-15,2026-02-06,basic,29.53,32
CUST000074,2023-08-30,2026-01-28,basic,24.07,6
CUST000075,2022-09-16,2025-10-15,premium,111.82,13
CUST000076,6/2/2023,2025-11-25,basic,16.96,4
CUST000077,2023-09-15,2026-03-06,premium,83.88,15
CUST000078,2024-06-25,1/10/2026,premium,149.25,4
CUST000079,2023-03-02,2025-10-18,basic,34.81,1
CUST000080,2024-08-20,2026-01-12,basic,23.64,3
CUST000081,2/10/2023,2025-12-09,basic,21.74,2
CUST000082,2023-09-22,2025-10-26,standard,65.61,0
CUST000083,2023-07-12,11/19/2025,standard,59.70,3
CUST000084,2023-04-14,2025-10-06,premium,118.14,24
CUST000085,2024-11-28,2025-10-12,standard,52.52,13
CUST000086,2023-10-20,2025-10-07,basic,19.82,3
CUST000087,2022-03-17,12/1/2025,basic,22.57,3
CUST000088,2024-08-04,2025-12-12,basic,30.55,3
CUST000089,2022-09-26,2026-01-13,standard,71.42,5
CUST000090,2022-01-29,2025-11-06,standard,50.11,7
CUST000091,2023-08-21,2025-11-17,standard,58.70,3
CUST000092,11/6/2024,2026-02-21,premium,95.72,14
CUST000093,2024-09-29,2026-02-17,standard,61.80,4
CUST000094,2023-05-05,2025-11-01,standard,78.52,2
CUST000095,2024-03-01,2025-10-09,standard,69.34,0
CUST000096,2022-07-25,2025-12-05,basic,42.31,1
CUST000097,2024-08-19,2026-01-19,basic,35.78,2
CUST000098,2023-10-11,2025-10-18,standard,74.17,7
CUST000099,2023-04-11,2026-03-04,standard,44.43,0
CUST000100,2022-04-05,2026-01-03,standard,53.20,1
