transaction_id,customer_id,date,order_value,channel
TXN-20280306-000829,CUST-10489,2028-03-06,965.54,online
TXN-20270310-000946,CUST-10375,2027-03-10,738.71,mobile
TXN-20260628-000302,CUST-10168,2026-06-28,224.87,in-store
TXN-20270913-000552,CUST-10214,2027-09-13,394.32,mobile
TXN-20280221-000402,CUST-10478,2028-02-21,540.92,online
TXN-20261118-000601,CUST-10127,2026-11-18,943.56,in-store
TXN-20270906-000341,CUST-10279,2027-09-06,113.78,in-store
TXN-20280207-000978,CUST-10280,2028-02-07,401.79,in-store
TXN-20260817-000819,CUST-10466,2026-08-17,919.19,mobile
TXN-20250816-000833,CUST-10363,2025-08-16,262.28,mobile
TXN-20270404-000691,CUST-10302,2027-04-04,361.51,online
TXN-20250416-000164,CUST-10349,2025-04-16,679.82,online
TXN-20270116-000368,CUST-10298,2027-01-16,253.70,in-store
TXN-20250914-000696,CUST-10284,2025-09-14,461.14,mobile
TXN-20280710-000596,CUST-10211,2028-07-10,236.60,in-store
TXN-20270920-000771,CUST-10259,2027-09-20,603.31,in-store
TXN-20251219-000568,CUST-10367,2025-12-19,297.10,in-store
TXN-20270126-000673,CUST-10325,01/26/2027,666.38,in-store
TXN-20261020-000735,CUST-10183,2026-10-20,847.15,online
TXN-20280727-000114,CUST-10061,2028-07-27,114.92,in-store
TXN-20260201-000899,CUST-10472,02/01/2026,308.78,online
TXN-20250921-000911,CUST-10124,2025-09-21,112.82,in-store
TXN-20250120-000597,CUST-10423,2025-01-20,915.34,in-store
TXN-20251031-000115,CUST-10111,10/31/2025,185.53,mobile
TXN-20271027-000880,CUST-10101,2027-10-27,500.17,in-store
TXN-20260309-000970,CUST-10033,2026-03-09,741.80,mobile
TXN-20251129-000979,CUST-10390,2025-11-29,74.16,in-store
TXN-20270729-000194,CUST-10298,2027-07-29,665.70,mobile
TXN-20250408-000916,CUST-10390,2025-04-08,800.49,in-store
TXN-20251124-000826,CUST-10441,2025-11-24,216.77,online
TXN-20260512-000892,CUST-10321,2026-05-12,361.19,mobile
TXN-20260904-000340,CUST-10030,2026-09-04,498.42,online
TXN-20250819-000924,CUST-10184,2025-08-19,460.54,mobile
TXN-20260602-000537,CUST-10070,2026-06-02,397.22,in-store
TXN-20261021-000745,CUST-10356,2026-10-21,408.38,online
TXN-20260905-000389,CUST-10234,2026-09-05,186.73,online
TXN-20260217-000380,CUST-10335,2026-02-17,634.62,mobile
TXN-20260919-000804,CUST-10142,2026-09-19,886.77,mobile
TXN-20280323-000318,CUST-10313,2028-03-23,55.18,online
TXN-20280719-000871,CUST-10043,2028-07-19,250.60,in-store
