transaction_id,customer_id,date,order_value
TXN00000001,CUST000858,2023-10-02,30.46
TXN00000002,CUST000626,2024-01-24,171.90
TXN00000003,CUST002616,2023-05-19,56.58
TXN00000004,CUST000028,2024-03-22,201.98
TXN00000005,CUST007346,2023-04-15,37.01
TXN00000006,CUST000348,2023-10-26,60.41
TXN00000007,CUST000603,2023-11-09,49.30
TXN00000008,CUST005166,2023-01-13,107.42
TXN00000009,CUST007965,2024-06-17,16.05
TXN00000010,CUST002974,2023-03-26,42.32
TXN00000011,CUST005521,2024-07-21,96.79
TXN00000012,CUST005507,2023-01-17,129.38
TXN00000013,CUST000211,2023-12-27,105.19
TXN00000014,CUST000979,2024-10-16,155.20
TXN00000015,CUST003824,2024-07-11,198.47
TXN00000016,CUST007283,2024-01-23,35.60
TXN00000017,CUST003166,2023-01-22,61.67
TXN00000018,CUST007116,2024-10-11,21.90
TXN00000019,CUST005818,2023-04-01,313.24
TXN00000020,CUST006623,2023-01-30,99.78
TXN00000021,CUST005486,2024-02-29,194.24
TXN00000022,CUST006866,2023-03-07,80.70
TXN00000023,CUST003850,2023-03-22,154.03
TXN00000024,CUST006345,2024-07-04,287.36
TXN00000025,CUST006378,2024-01-13,388.89
TXN00000026,CUST006329,3/18/2024,137.00
TXN00000027,CUST005727,2024-04-05,196.28
TXN00000028,CUST007392,2023-11-08,40.13
TXN00000029,CUST005323,2024-06-13,105.02
TXN00000030,CUST006046,2023-08-19,61.63
TXN00000031,CUST008296,2023-09-07,85.65
TXN00000032,CUST008201,2023-03-24,154.04
TXN00000033,CUST000282,2023-07-18,124.02
TXN00000034,CUST001373,2023-12-16,179.20
TXN00000035,CUST002220,2024-05-10,15.36
TXN00000036,CUST007965,2023-12-15,105.24
TXN00000037,CUST002067,2024-09-16,382.75
TXN00000038,CUST008102,2023-12-18,19.96
TXN00000039,CUST007550,2024-01-06,264.98
TXN00000040,CUST007358,2023-12-18,199.44
TXN00000041,CUST006265,2023-03-05,60.44
TXN00000042,CUST002866,2024-07-26,66.22
TXN00000043,CUST004349,2024-05-29,189.40
TXN00000044,CUST000846,2024-08-23,118.97
TXN00000045,CUST005320,2023-09-06,93.45
TXN00000046,CUST005637,2023-09-12,119.24
TXN00000047,CUST004506,2023-12-12,13.78
TXN00000048,CUST008134,2023-05-16,199.65
TXN00000049,CUST002320,2023-11-30,459.18
TXN00000050,CUST007593,2024-05-31,286.61
TXN00000051,CUST000229,2023-11-25,178.67
TXN00000052,CUST004152,2023-10-19,90.75
TXN00000053,CUST000213,2024-05-23,61.20
TXN00000054,CUST002719,2024-06-27,174.48
TXN00000055,CUST007658,2023-08-18,94.12
TXN00000056,CUST004577,2023-07-19,317.71
TXN00000057,CUST007350,4/24/2023,134.28
TXN00000058,CUST005841,2023-06-07,50.21
TXN00000059,CUST003954,2023-02-08,86.69
TXN00000060,CUST000424,2023-01-12,15.69
TXN00000061,CUST004040,2024-03-22,284.76
TXN00000062,CUST005322,2023-08-06,159.35
TXN00000063,CUST007634,2023-08-19,184.81
TXN00000064,CUST006401,2024-07-27,181.79
TXN00000065,CUST000698,2023-10-21,183.40
TXN00000066,CUST002065,2023-05-05,205.23
TXN00000067,CUST005784,2023-10-23,18.97
TXN00000068,CUST008332,2023-04-08,25.73
TXN00000069,CUST003375,2024-01-29,100.28
TXN00000070,CUST000088,2023-06-16,16.14
TXN00000071,CUST002399,2023-08-13,217.89
TXN00000072,CUST002486,2023-04-28,136.99
TXN00000073,CUST005881,2024-03-26,165.21
TXN00000074,CUST003853,2024-03-17,138.30
TXN00000075,CUST004779,2023-12-02,53.49
TXN00000076,CUST000998,2023-03-01,57.44
TXN00000077,CUST003842,2023-05-09,178.13
TXN00000078,CUST004314,2024-03-06,80.42
TXN00000079,CUST002135,2024-03-02,76.47
TXN00000080,CUST000054,2023-12-25,65.89
TXN00000081,CUST006202,2023-07-08,29.88
TXN00000082,CUST003256,2024-02-13,49.02
TXN00000083,CUST005870,2024-03-13,179.16
TXN00000084,CUST002677,2/1/2024,155.23
TXN00000085,CUST002644,2023-07-17,199.98
TXN00000086,CUST001662,2023-10-04,474.40
TXN00000087,CUST005918,2023-05-14,59.40
TXN00000088,CUST001956,2024-11-13,439.77
TXN00000089,CUST005054,2024-03-26,169.37
TXN00000090,CUST001654,2024-03-27,178.11
TXN00000091,CUST005879,2024-11-21,324.61
TXN00000092,CUST003932,2023-01-05,170.96
TXN00000093,CUST002862,2024-07-02,177.95
TXN00000094,CUST005007,2023-03-08,118.10
TXN00000095,CUST004361,8/5/2024,145.72
TXN00000096,CUST005085,2023-11-15,74.26
TXN00000097,CUST000372,2024-11-12,192.62
TXN00000098,CUST006996,2023-08-06,174.56
TXN00000099,CUST002523,2023-06-24,180.53
TXN00000100,CUST001028,2024-04-04,118.18
TXN00000101,CUST007112,2024-07-01,167.88
TXN00000102,CUST003543,2023-04-02,410.39
TXN00000103,CUST003412,11/22/2024,493.46
TXN00000104,CUST000832,2024-02-26,300.13
TXN00000105,CUST002990,2024-10-20,231.18
TXN00000106,CUST000713,2023-08-10,35.83
TXN00000107,CUST004948,2024-01-09,63.90
TXN00000108,CUST003016,2024-06-30,114.45
TXN00000109,CUST000039,2024-08-17,154.19
TXN00000110,CUST001657,2024-04-09,161.72
TXN00000111,CUST007855,2023-01-31,98.43
TXN00000112,CUST004657,2024-07-05,491.23
TXN00000113,CUST003256,6/23/2023,28.40
TXN00000114,CUST006103,2024-03-07,1427.07
TXN00000115,CUST003794,2024-08-10,139.13
TXN00000116,CUST001630,2024-05-14,177.12
TXN00000117,CUST008152,2023-12-10,170.39
TXN00000118,CUST004382,2023-12-12,29.40
TXN00000119,CUST000865,2024-12-08,80.11
TXN00000120,CUST000664,2023-05-24,140.24
TXN00000121,CUST006544,2023-07-03,396.21
TXN00000122,CUST007962,2024-05-27,62.57
TXN00000123,CUST008273,2024-10-15,151.84
TXN00000124,CUST007740,2024-02-10,174.31
TXN00000125,CUST001446,2023-12-02,17.22
TXN00000126,CUST005779,2024-01-09,143.07
TXN00000127,CUST007801,2024-08-25,16.21
TXN00000128,CUST002076,2024-10-31,168.93
TXN00000129,CUST007022,2024-10-16,133.32
TXN00000130,CUST002049,2023-10-03,69.04
TXN00000131,CUST001172,2023-12-21,116.10
TXN00000132,CUST000165,2024-09-06,143.81
TXN00000133,CUST001051,2023-07-12,142.62
TXN00000134,CUST008001,2023-04-30,188.26
TXN00000135,CUST001680,2023-07-20,79.96
TXN00000136,CUST003114,2023-03-26,132.61
TXN00000137,CUST007349,2024-03-23,88.78
TXN00000138,CUST001539,2023-11-03,168.31
TXN00000139,CUST005445,2024-01-12,45.23
TXN00000140,CUST000442,2024-03-31,166.79
TXN00000141,CUST004703,2023-11-20,124.94
TXN00000142,CUST005910,2023-08-20,451.51
TXN00000143,CUST003408,2023-12-05,52.11
TXN00000144,CUST005115,2023-06-16,72.86
TXN00000145,CUST007323,2024-04-19,146.74
TXN00000146,CUST004808,2023-03-23,1859.70
TXN00000147,CUST005278,2024-01-27,34.57
TXN00000148,CUST000940,2023-06-14,94.39
TXN00000149,CUST004469,2024-09-13,182.61
TXN00000150,CUST003891,2024-12-15,25.75
TXN00000151,CUST006318,7/14/2024,130.21
TXN00000152,CUST002210,2023-06-22,36.55
TXN00000153,CUST004986,2024-03-01,127.20
TXN00000154,CUST003215,2023-10-31,152.53
TXN00000155,CUST005065,2023-07-16,40.11
TXN00000156,CUST005457,2024-09-29,17.51
TXN00000157,CUST003988,2023-02-12,183.43
TXN00000158,CUST007130,2023-06-26,19.64
TXN00000159,CUST003884,2024-11-01,292.06
TXN00000160,CUST007383,2023-05-11,191.85
TXN00000161,CUST007988,2023-11-15,40.35
TXN00000162,CUST002355,2023-07-17,160.22
TXN00000163,CUST008287,2023-05-30,189.30
TXN00000164,CUST003234,2023-06-12,180.27
TXN00000165,CUST001945,2023-04-07,13.10
TXN00000166,CUST006639,2023-08-25,160.65
TXN00000167,CUST007075,2023-03-21,66.44
TXN00000168,CUST003868,2023-06-05,413.53
TXN00000169,CUST001484,2024-02-24,339.47
TXN00000170,CUST008270,2023-03-15,154.53
TXN00000171,CUST000400,2023-05-25,164.35
TXN00000172,CUST007664,2023-11-06,198.27
TXN00000173,CUST006108,2023-05-08,185.89
TXN00000174,CUST004170,2023-10-01,11.75
TXN00000175,CUST005682,2024-01-19,38.61
TXN00000176,CUST003937,2023-07-03,147.01
TXN00000177,CUST002354,2024-11-22,91.38
TXN00000178,CUST006187,2023-06-14,168.82
TXN00000179,CUST006480,2024-07-01,11.08
TXN00000180,CUST003785,2024-05-01,39.41
TXN00000181,CUST005635,2024-03-31,194.21
TXN00000182,CUST000062,2024-10-30,136.93
TXN00000183,CUST003891,2023-01-24,44.64
TXN00000184,CUST002987,2024-11-16,237.59
TXN00000185,CUST004531,2024-02-15,117.02
TXN00000186,CUST004255,2024-12-11,24.26
TXN00000187,CUST007179,2024-10-26,79.62
TXN00000188,CUST006840,2023-10-12,151.21
TXN00000189,CUST000660,2023-02-26,91.32
TXN00000190,CUST001687,2024-06-14,386.55
TXN00000191,CUST006119,2023-05-15,140.84
TXN00000192,CUST001081,2023-03-16,112.13
TXN00000193,CUST008136,2023-10-26,162.12
TXN00000194,CUST003258,2024-06-12,16.63
TXN00000195,CUST003178,2024-10-03,99.39
TXN00000196,CUST002245,2024-07-05,56.98
TXN00000197,CUST001262,2024-01-17,331.41
TXN00000198,CUST000921,2023-01-22,117.27
TXN00000199,CUST006402,2023-12-14,47.22
TXN00000200,CUST004967,2024-10-19,128.88
TXN00000201,CUST003321,2024-08-25,429.78
TXN00000202,CUST004169,2024-10-03,79.75
TXN00000203,CUST007492,2024-05-23,37.41
TXN00000204,CUST007126,2023-02-20,103.67
TXN00000205,CUST003457,2023-08-03,53.37
TXN00000206,CUST002081,2023-09-26,120.63
TXN00000207,CUST006267,2024-01-23,491.16
TXN00000208,CUST003720,2024-11-15,104.70
TXN00000209,CUST005530,2023-07-28,192.95
TXN00000210,CUST001057,2024-07-04,82.25
TXN00000211,CUST002968,2024-08-12,77.98
TXN00000212,CUST000613,2023-07-09,157.69
TXN00000213,CUST001800,2023-01-19,142.05
TXN00000214,CUST006577,2023-03-06,394.22
TXN00000215,CUST004187,2023-09-05,14.37
TXN00000216,CUST001148,2024-06-03,36.20
TXN00000217,CUST002700,2024-05-24,137.35
TXN00000218,CUST003898,2023-04-28,135.42
TXN00000219,CUST005752,2024-11-07,95.71
TXN00000220,CUST003785,2024-07-23,41.17
TXN00000221,CUST004355,2024-10-01,10.79
TXN00000222,CUST004213,2024-01-17,354.23
TXN00000223,CUST005109,2023-01-15,144.61
TXN00000224,CUST001293,2024-11-17,108.12
TXN00000225,CUST004018,2024-01-12,262.80
TXN00000226,CUST007158,5/12/2024,20.48
TXN00000227,CUST001769,2023-04-14,109.44
TXN00000228,CUST000172,2024-07-16,75.93
