# contamination_rate: 23.0%
# original_record_count: 51203
# clean_record_count: 39426
# duplicate_count: 11777
# date_range: 2025-01-15 to 2025-02-28
duplicate_id,original_transaction_id,detected_date,affected_date_range
DUP000024,TXN037320,2025-01-15,2025-01-08 to 2025-01-15
DUP000040,TXN019589,2025-01-15,2025-01-14 to 2025-01-15
DUP000093,TXN019470,2025-01-15,2025-01-09 to 2025-01-15
DUP000183,TXN014654,2025-01-15,2025-01-14 to 2025-01-15
DUP000267,TXN036920,2025-01-15,2025-01-14 to 2025-01-15
DUP000280,TXN012378,2025-01-15,2025-01-10 to 2025-01-15
DUP000294,TXN007252,2025-01-15,2025-01-12 to 2025-01-15
DUP000417,TXN036070,2025-01-15,2025-01-09 to 2025-01-15
DUP000531,TXN015470,2025-01-15,2025-01-09 to 2025-01-15
DUP000535,TXN005822,2025-01-15,2025-01-09 to 2025-01-15
DUP000609,TXN022514,2025-01-15,2025-01-14 to 2025-01-15
DUP000642,TXN036560,2025-01-15,2025-01-14 to 2025-01-15
DUP000661,TXN032937,2025-01-15,2025-01-10 to 2025-01-15
DUP000701,TXN019165,2025-01-15,2025-01-14 to 2025-01-15
DUP000704,TXN016670,2025-01-15,2025-01-11 to 2025-01-15
DUP000741,TXN000420,2025-01-15,2025-01-12 to 2025-01-15
DUP000767,TXN005687,2025-01-15,2025-01-11 to 2025-01-15
DUP000770,TXN023525,2025-01-15,2025-01-08 to 2025-01-15
DUP000796,TXN000090,2025-01-15,2025-01-09 to 2025-01-15
DUP000843,TXN019649,2025-01-15,2025-01-14 to 2025-01-15
DUP000899,TXN009235,2025-01-15,2025-01-09 to 2025-01-15
DUP000922,TXN034757,2025-01-15,2025-01-09 to 2025-01-15
DUP000947,TXN035870,2025-01-15,2025-01-13 to 2025-01-15
DUP000961,TXN001265,2025-01-15,2025-01-12 to 2025-01-15
DUP000972,TXN033481,2025-01-15,2025-01-09 to 2025-01-15
DUP000991,TXN037069,2025-01-15,2025-01-12 to 2025-01-15
DUP001034,TXN006399,2025-01-15,2025-01-10 to 2025-01-15
DUP001047,TXN005121,2025-01-15,2025-01-09 to 2025-01-15
DUP001087,TXN022099,2025-01-15,2025-01-08 to 2025-01-15
DUP001109,TXN002573,2025-01-15,2025-01-08 to 2025-01-15
DUP001152,TXN036891,2025-01-15,2025-01-12 to 2025-01-15
DUP001200,TXN038380,2025-01-15,2025-01-13 to 2025-01-15
DUP001301,TXN017606,2025-01-15,2025-01-14 to 2025-01-15
DUP001344,TXN035560,2025-01-15,2025-01-14 to 2025-01-15
DUP001373,TXN020360,2025-01-15,2025-01-13 to 2025-01-15
DUP001417,TXN023892,2025-01-15,2025-01-13 to 2025-01-15
DUP001443,TXN033919,2025-01-15,2025-01-11 to 2025-01-15
DUP001560,TXN020431,2025-01-15,2025-01-13 to 2025-01-15
DUP001568,TXN030817,2025-01-15,2025-01-10 to 2025-01-15
DUP001620,TXN016025,2025-01-15,2025-01-13 to 2025-01-15
DUP001634,TXN008574,2025-01-15,2025-01-14 to 2025-01-15
DUP001662,TXN021700,2025-01-15,2025-01-12 to 2025-01-15
DUP001702,TXN023579,2025-01-15,2025-01-13 to 2025-01-15
DUP001735,TXN013986,2025-01-15,2025-01-13 to 2025-01-15
DUP001800,TXN018630,2025-01-15,2025-01-08 to 2025-01-15
DUP001855,TXN015627,2025-01-15,2025-01-11 to 2025-01-15
DUP001889,TXN016387,2025-01-15,2025-01-10 to 2025-01-15
DUP001891,TXN027771,2025-01-15,2025-01-13 to 2025-01-15
DUP001911,TXN000708,2025-01-15,2025-01-10 to 2025-01-15
DUP001916,TXN022805,2025-01-15,2025-01-14 to 2025-01-15
DUP001969,TXN013829,2025-01-15,2025-01-08 to 2025-01-15
DUP002004,TXN017579,2025-01-15,2025-01-11 to 2025-01-15
DUP002007,TXN032070,2025-01-15,2025-01-11 to 2025-01-15
DUP002045,TXN013850,2025-01-15,2025-01-10 to 2025-01-15
DUP002095,TXN010107,2025-01-15,2025-01-14 to 2025-01-15
DUP002110,TXN006801,2025-01-15,2025-01-13 to 2025-01-15
DUP002121,TXN038318,2025-01-15,2025-01-12 to 2025-01-15
