transaction_id,customer_id,date,order_value,channel
TXN000001,CUST0198,2025-01-15,112.81,online
TXN000002,CUST0180,2025-01-15,895.09,retail
TXN000003,CUST0409,2025-01-15,645.65,retail
TXN000004,CUST0341,2025-01-15,1317.18,online
TXN000005,CUST0091,2025-01-15,831.23,online
TXN000006,CUST0178,2025-01-15,1224.26,retail
TXN000007,CUST0100,2025-01-15,353.64,retail
TXN000008,CUST0104,2025-01-15,71.53,online
TXN000009,CUST0377,2025-01-15,318.98,retail
TXN000010,CUST0269,2025-01-15,303.97,online
TXN000011,CUST0317,2025-01-15,1304.63,online
TXN000012,CUST0403,2025-01-15,1054.23,retail
TXN000013,CUST0010,2025-01-15,1429.25,online
TXN000014,CUST0321,2025-01-15,576.60,online
TXN000015,CUST0315,2025-01-15,1473.56,online
TXN000016,CUST0118,2025-01-15,1390.38,online
TXN000017,CUST0397,2025-01-15,1346.65,online
TXN000018,CUST0500,2025-01-15,282.97,online
TXN000019,CUST0219,2025-01-15,1125.59,online
TXN000020,CUST0276,2025-01-15,116.66,online
TXN000021,CUST0118,2025-01-15,339.31,online
TXN000022,CUST0302,2025-01-15,173.50,online
TXN000023,CUST0389,2025-01-15,959.21,online
TXN000024,CUST0410,2025-01-15,1157.51,retail
TXN000025,CUST0177,2025-01-15,201.45,online
TXN000026,CUST0001,2025-01-15,1133.95,retail
TXN000027,CUST0099,2025-01-15,201.04,online
TXN000028,CUST0083,2025-01-15,241.45,online
TXN000029,CUST0275,2025-01-15,134.86,online
TXN000030,CUST0050,2025-01-15,1411.49,retail
TXN000031,CUST0381,2025-01-15,178.74,retail
TXN000032,CUST0079,2025-01-15,496.57,online
TXN000033,CUST0408,2025-01-15,1244.02,retail
TXN000034,CUST0098,2025-01-15,487.83,online
TXN000035,CUST0472,2025-01-15,506.11,online
TXN000036,CUST0230,2025-01-15,425.20,retail
TXN000037,CUST0270,2025-01-15,1161.37,online
TXN000038,CUST0054,2025-01-15,81.58,retail
TXN000039,CUST0494,2025-01-15,467.08,retail
TXN000040,CUST0367,2025-01-15,1441.23,online
TXN000041,CUST0482,2025-01-15,383.94,retail
TXN000042,CUST0003,2025-01-15,581.58,online
TXN000043,CUST0163,2025-01-15,98.04,online
TXN000044,CUST0297,2025-01-15,917.53,retail
TXN000045,CUST0392,2025-01-15,984.30,retail
TXN000046,CUST0250,2025-01-15,1291.95,retail
TXN000047,CUST0073,2025-01-15,704.74,retail
TXN000048,CUST0334,2025-01-15,746.77,retail
TXN000049,CUST0463,2025-01-15,1431.41,retail
TXN000050,CUST0341,2025-01-15,1449.41,online
TXN000051,CUST0022,2025-01-15,1145.82,online
TXN000052,CUST0250,2025-01-15,1196.38,online
TXN000053,CUST0422,2025-01-15,281.63,retail
TXN000054,CUST0061,2025-01-15,299.39,retail
TXN000055,CUST0469,2025-01-15,715.51,retail
TXN000056,CUST0456,2025-01-15,322.86,retail
TXN000057,CUST0246,2025-01-15,741.53,retail
TXN000058,CUST0453,2025-01-15,994.32,online
TXN000059,CUST0342,2025-01-15,267.38,online
TXN000060,CUST0114,2025-01-15,96.69,retail
TXN000061,CUST0294,2025-01-15,1327.86,retail
TXN000062,CUST0281,2025-01-15,403.15,retail
TXN000063,CUST0136,2025-01-15,235.87,online
TXN000064,CUST0182,2025-01-15,906.00,online
TXN000065,CUST0165,2025-01-15,814.01,retail
TXN000066,CUST0106,2025-01-15,579.08,retail
TXN000067,CUST0165,2025-01-15,145.97,online
TXN000068,CUST0038,2025-01-15,1090.53,retail
TXN000069,CUST0011,2025-01-15,330.17,online
TXN000070,CUST0207,2025-01-15,305.79,online
TXN000071,CUST0118,2025-01-15,273.69,online
TXN000072,CUST0267,2025-01-15,1494.12,retail
TXN000073,CUST0431,2025-01-15,727.92,online
TXN000074,CUST0479,2025-01-15,1048.33,retail
TXN000075,CUST0105,2025-01-15,585.47,retail
TXN000076,CUST0004,2025-01-15,1370.63,retail
TXN000077,CUST0016,2025-01-15,1222.59,retail
TXN000078,CUST0044,2025-01-15,261.61,retail
TXN000079,CUST0300,2025-01-15,121.07,online
TXN000080,CUST0351,2025-01-15,796.17,retail
TXN000081,CUST0029,2025-01-15,1182.07,retail
TXN000082,CUST0162,2025-01-15,660.06,online
TXN000083,CUST0263,2025-01-15,1324.31,retail
TXN000084,CUST0098,2025-01-15,335.50,online
TXN000085,CUST0370,2025-01-15,1367.52,retail
TXN000086,CUST0058,2025-01-15,1123.98,retail
TXN000087,CUST0471,2025-01-15,479.80,retail
TXN000088,CUST0302,2025-01-15,790.69,retail
TXN000089,CUST0445,2025-01-15,242.86,retail
TXN000090,CUST0006,2025-01-15,1076.81,online
TXN000091,CUST0021,2025-01-15,635.49,retail
